Program,Activity,ProjectLead,ProjectTitle,City,State,Latitude,Longitude,DOE Project Web Page,Concise_Description,Funding Type,Status
Commercial Buildings Integration,Technology & Systems Validation,University of New Haven,Fault Detection and Diagnosis (FDD) Tools for Retro-Commissioning and Continuous Commissioning of HVAC and Refrigeration Systems,New Haven,CT,41.3083,-79.9279,https://energy.gov/eere/buildings/downloads/fault-detection-and-diagnosis-fdd-tools-retro-commissioning-and-continuous,"This project will study selected software and hardware platforms that apply algorithms to identify, diagnose, and sometimes fix “broken” electric cooling, ventilation and refrigeration systems in buildings. If widely used, the fault detection and diagnosis tools validated in this project could have savings of 927 Tbtu per year.",Funding Opportunity,Inactive
Commercial Buildings Integration,Technology & Systems Validation,Seventhwave,Integrated Controls Package for High Performance Interior Retrofit,Madison,WI,43.073052,-89.40123,https://energy.gov/eere/buildings/downloads/integrated-controls-package-high-performance-interior-retrofit,"The project will study the integration trade-offs, cost and energy optimization of daylighting, LED electric lighting, plug load sensors and zonal air plow controls. If widely adopted, the integrated controls package in this project could have savings up to 750 Tbtu per year.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Window & Building Envelope,Oak Ridge National Laboratory,Optimization of Very Low Thermal Conductivity Material,Oak Ridge,TN,36.010356,-84.269645,https://energy.gov/eere/buildings/downloads/optimization-very-low-thermal-conductivity-material,"Oak Ridge National Laboratory aims to develop a cost-effective insulation material with thermal resistance R-values higher than state-of-the-art insulation material, Aerogel, and two to three times higher than conventional insulation, such as polyurethane foams.",TCF,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Thermoelectric Heat Pump Recovery System for Domestic Dishwashers,Oak Ridge,TN,36.010356,-84.269645,https://energy.gov/eere/buildings/downloads/thermoelectric-heat-pump-recovery-system-domestic-dishwashers,This project will develop and test a prototype heat recovery dishwasher for the U.S. residential market. A heat recovery dishwasher could save approximately 90 Tbtu/year when fully deployed nationwide.,TCF,Inactive
Emerging Technologies,R&D - Building Energy Modeling,National Renewable Energy Laboratory,Multifamily Building Stock Modeling,Golden,CO,39.755543,-105.2211,https://energy.gov/eere/buildings/downloads/multifamily-building-stock-modeling,"The National Renewable Energy Laboratory will work with Radiant Labs to create an open-source version of ResStock, one that is extended to cover multifamily buildings.",Small Business Vouchers Pilot,Inactive
Emerging Technologies,R&D - Sensors & Controls,Oak Ridge National Laboratory,Adaptive Supervisory Control for Automated Fault Detection and Diagnostics,Oak Ridge,TN,36.010356,-84.269645,https://energy.gov/eere/buildings/downloads/adaptive-supervisory-control-automated-fault-detection-and-diagnostics,Oak Ridge National Laboratory will develop sensors and controls technology for improving energy efficiency of buildings and building equipment along with identifying opportunities for buildings to provide transactive energy services.,Lab Award,Active
Emerging Technologies,Technology & Systems Validation,Oak Ridge National Laboratory,Experimental Validation of a New Inexpensive and Noninvasive BTU Meter,Oak Ridge,TN,36.010356,-84.269645,https://energy.gov/eere/buildings/downloads/experimental-validation-new-inexpensive-and-noninvasive-btu-meter,The project will improve the BTU meter sensor and experimentally test and validate a novel BTU meter system developed by FluxTeq.,Small Business Vouchers Pilot,Inactive
Residential Buildings Integration,R&D - Window & Building Envelope,Aspen Products Group Inc.,High Flux Moisture-Permeable Membrane for Use in a Low-Cost Energy Recovery Ventilator,Marlborough,MA,42.3459,-71.5523,https://energy.gov/eere/buildings/downloads/high-flux-moisture-permeable-membrane-use-low-cost-energy-recovery,Aspen Products Group Inc. is developing a unique energy recovery ventilator (ERV) technology that will employ a lower cost vapor-permeable membrane that boosts latent recovery by 50% compared to current ERV technology.,Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Advanced Lighting,University of California - Santa Barbara,High Performance Green LEDs for Solid State Lighting,Santa Barbara,CA,34.420831,-119.69819,https://energy.gov/eere/buildings/downloads/high-performance-green-leds-solid-state-lighting,"The University of California, Santa Barbara will address the fundamental challenges for green LEDs by a combination of innovations in epitaxial growth and layer design, advanced processes including tunnel junctions, and advanced materials characterization.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,"Lumileds, LLC",Improved Radiative Recombination in AlGaInP LEDs,San Jose,CA,37.338208,-121.886329,https://energy.gov/eere/buildings/downloads/improved-radiative-recombination-algainp-leds,Lumileds with improve the external quantum efficiency of amber and red aluminium gallium indium phosphide (AIGaInP)-based LEDs by developing strain-engineered cladding layers to provide enhanced carrier confinement. Poor radiative recombination efficiency in direct-emitting amber and red AIGaInP LEDs is a major barrier to achieving energy efficient color-mixed and color-tunable solid-state lighting.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,Virginia Tech,Investigating the Health Impacts of Outdoor Lighting,Blacksburg,VA,37.229573,-80.413939,https://energy.gov/eere/buildings/downloads/investigating-health-impacts-outdoor-lighting,Virginia Polytechnic Institute and State University will attempt to measure the impact of lighting on the users of an outdoor ligthing space. The researchers will use the results to determine the effects of different lighting types on the melatonin levels of the participants.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,University of California - San Diego,Novel Lighting Strategies for Circadian and Sleep Health in Shift Work Applications,San Diego,CA,32.7157,-117.1611,https://energy.gov/eere/buildings/downloads/novel-lighting-strategies-circadian-and-sleep-health-shift-work,"The University of California, San Diego will develop and test the efficacy of novel light-based circadian interventions for enhancing sleep, health, alertness, performance, and quality of life in nightshift workers.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,University of California - Los Angeles,Combining Fluorescence and Phosphorescence to Achieve Very Long Lifetime and Efficient White OLEDs,Los Angeles,CA,34.052234,-118.243685,https://energy.gov/eere/buildings/downloads/combining-fluorescence-and-phosphorescence-achieve-very-long-lifetime-and,"This project takes a different approach to achieving white electroluminescence, which involves the use of a combination of fluorescent and phosphorescent that will markedly improve cell efficacy and lifetime. The research on hybrid fl/ph WOLED represents a true paradigm shift in WOLED development, utilizing both fl and ph emitters at the peak of their performance.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,OLEDWorks,Mask-Free OLED Fabrication Process for Non-Tunable and Tunable White OLED Panels,Rochester,NY,43.16103,-77.610922,https://energy.gov/eere/buildings/downloads/mask-free-oled-fabrication-process-non-tunable-and-tunable-white-oled,"OLEDWorks will attempt to develop and demonstrate a novel fabrication process that eliminates the use of shadow masks during the OLED deposition process. Today, all white OLED lighting panels are made using at least two shadow masks during the vacuum thermal evaporation (VTE) deposition process - one for organic layers and one for cathode layers - and every new panel design requires a costly new set of masks.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,Georgia Institute of Technology,Stable White Organic Light-Emitting Diodes Enabled by New Materials with Reduced Excited-State Lifetimes,Atlanta,GA,33.748995,-84.387982,https://energy.gov/eere/buildings/downloads/stable-white-organic-light-emitting-diodes-enabled-new-materials-reduced,"Georgia Institute of Technology will research, develop and demonstrate blue-emitting layers (blue-EML) capable of overcoming the existing device efficiency vs. device stability tradeoff in blue-emitting OLEDs, and enable next-generation stable white OLEDs (WOLEDs).",Funding Opportunity,Inactive
Emerging Technologies,R&D - Sensors & Controls,"Leaptran, Inc.",An Open Source Proactive Energy Management System (PEMS) for Integrated Control of Energy Storage and Solar Powered Buildings,San Antonio,TX,29.4241,-98.4936,https://energy.gov/eere/buildings/downloads/open-source-proactive-energy-management-system-pems-integrated-control,Leaptran Inc. will develop an integrated and interoperable control and communication software platform that proactively manages distributed energy systems and optimizes the total cost for building owners while maintaining reliable grid operation. This project will effectively co-optimize building management systems and battery energy storage systems (BESS) in an open-source and scalable platform.,Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Sensors & Controls,University of Washington,Integration of Battery Modeling with Solar Building Energy Storage,Seattle,WA,47.60621,-122.332071,https://energy.gov/eere/buildings/downloads/integration-battery-modeling-solar-building-energy-storage,Battery Informatics Inc. will improve the value of Li-ion batteries using software to control how the batteries are operated by changing the batteries from conservatively operated devices to managed assets.,Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Sensors & Controls,BlazeTech Corp.,Solar Building Energy Storage Management,Woburn,MA,42.4793,-71.1523,https://energy.gov/eere/buildings/downloads/solar-building-energy-storage-management,"BlazeTech Corp. will develop a robust and flexible software for a solar building prototype that controls and interfaces with an adaptive battery management system along with solar panels, dynamic loads and the utility supply.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Window & Building Envelope,Stanford University,Robust Large-Scale Dynamic Windows Using Reversible Metal Electrodeposition,Stanford,CA,37.4241,-122.1661,https://energy.gov/eere/buildings/downloads/robust-large-scale-dynamic-windows-using-reversible-metal-electrodeposition,Stanford University will work toward the development of inexpensive dynamic windows based on reversible electroplating of metals.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Window & Building Envelope,"Fraunhofer USA, Inc.",Development of Isocyanurate-Based Super Insulation at Atmospheric Pressure (SIAP) with Target Resistance R-12 hr·ft2·°F/BTU·in,Boston,MA,42.360083,-71.05888,https://energy.gov/eere/buildings/downloads/development-isocyanurate-based-super-insulation-atmospheric-pressure-siap,This project is focused on developing an isocyanurate-based nanofoam for building and industrial applications.,Funding Opportunity,Inactive
Residential Buildings Integration,"R&D - HVAC, Water Heating, and Appliances",University of Central Florida,Integrated HVAC Control Methods for Supplemental High-Efficiency Mini-Split Heat Pumps in Existing Homes,Orlando,FL,28.538336,-81.379236,https://energy.gov/eere/buildings/downloads/integrated-hvac-control-methods-supplemental-high-efficiency-mini-split,This project will further refine a new approach to using mini-split heat pumps in existing homes.,Funding Opportunity,Inactive
Residential Buildings Integration,Technology & Systems Validation,Rocky Mountain Institute,Experimental Envelope Fabrication Process for Integrated Zero Energy Ready Multifamily Renovations,Basalt,CO,39.3689,-107.0328,https://energy.gov/eere/buildings/downloads/experimental-envelope-fabrication-process-integrated-zero-energy-ready,"The project will produce a standardizable, transferable, climate zone-specific net zero energy ready retrofit system. This system will be tested at a multifamily affordable housing pilot site.",Funding Opportunity,Active
Residential Buildings Integration,R&D - Sensors & Controls,Newport Partners,Development of Laboratory Test Methods for Low-Cost Indoor Air Quality Sensors,Davidsonville,MD,38.922764,-76.628554,https://energy.gov/eere/buildings/downloads/development-laboratory-test-methods-low-cost-indoor-air-quality-sensors,The goal of this project is to develop laboratory test methods for performance verification of low-cost IAQ sensors and provide technical support to industry stakeholders during the development of an ASTM standard based on these test methods.,Funding Opportunity,Inactive
Residential Buildings Integration,Technology & Systems Validation,Pacific Northwest National Laboratory,Baseline Indoor Air Quality (IAQ) Field Study in Occupied New U.S. Homes: Cold and Marine Climates,Richland,WA,46.285691,-119.284462,https://energy.gov/eere/buildings/downloads/baseline-indoor-air-quality-iaq-field-study-occupied-new-us-homes-cold-and,"This project entails the measurement of time-integrated concentrations and temporal profiles of humidity and established contaminants of concern in a minimum of 64 new homes located in cold and marine climate zones. Results will enable associations of indoor humidity and contaminant levels with the presence of control measures including American Society of Heating, Refrigerating and Air-Conditioning Engineers (ASHRAE) Standard 62.2 compliant mechanical ventilation and envelope airtightness.",Funding Opportunity,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Xergy,Hydrogen/Metal Hydride Based Heat Pump System for Large HVAC Applications Utilizing an Ionic Liquid Desiccant Subsystem,Seaford,DE,38.641226,-75.611038,https://energy.gov/eere/buildings/downloads/hydrogenmetal-hydride-based-heat-pump-system-large-hvac-applications,Xergy will combine electrochemical compression technology with ionic liquid desiccant to provide the most efficient means of managing latent and sensible heat loads in air-conditioning (AC) systems.,Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",University of Maryland,"Design and Manufacturing of High-Performance, Reduced Charge Heat Exchangers",College Park,MD,38.989697,-76.93776,https://energy.gov/eere/buildings/downloads/design-and-manufacturing-high-performance-reduced-charge-heat-exchangers,"The University of Maryland will develop the next generation air-to-refrigerant heat exchangers using non-round tubes that are 25% smaller, 25% lighter and 30% reduced charge than state-of-the-art heat exchangers. The reduced charge advantage will facilitate the use of alternative refrigerants (A2L, A3), which are some of the most efficient refrigerants available.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Stone Mountain Technologies,Gas-Fired Absorption Heat Pump,Erwin,TN,36.145108,-82.416806,https://energy.gov/eere/buildings/downloads/gas-fired-absorption-heat-pump,Stone Mountain Tech. Inc. is developing a gas-fired absorption heat pump that offers a significant advancement for space and water heating technologies when compared to conventional gas heating technologies.,Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Mechanical Dehumidification Using High-Frequency Ultrasonic Vibration,Oak Ridge,TN,36.010356,-84.269645,https://energy.gov/eere/buildings/downloads/mechanical-dehumidification-using-high-frequency-ultrasonic-vibration,"Oak Ridge National Laboratory (ORNL) will investigate a novel dehumidification process to avoid the excessive energy utilized by conventional approaches, through high-frequency mechanical vibration of ultrasonic transducers to “eject” adsorbed water in a liquid form.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Arkema Inc.,Use of Cost-Effective Additives to Reduce Flammability in 2L Refrigerants,King of Prussia,PA,40.1013,-75.3836,https://energy.gov/eere/buildings/downloads/use-cost-effective-additives-reduce-flammability-2l-refrigerants,"Arkema and its partner, Trane U.S. Inc, are working to develop and validate new low-cost, low-toxicity additives for A2L refrigerants to reduce flammability and lower global warming potential (GWP).",Funding Opportunity,Inactive
Commercial Buildings Integration,Technology & Systems Validation,Minnesota Center for Energy and Environment,Using Network Switches to Operate and Control Lighting and Plug Loads in Commercial Building Office Spaces,Minneapolis,MN,44.977753,-93.265011,https://energy.gov/eere/buildings/downloads/using-network-switches-operate-and-control-lighting-and-plug-loads,"This project will research and validate energy and cost savings opportunities using power over Ethernet (PoE) infrastructure to power and automate lighting, plugs, and HVAC system controls.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Sensors & Controls,University of Virginia,The Building Adapter: Automatic Mapping of Commercial Buildings for Scalable Building Analytics,Charlottesville,VA,38.0293,-78.4767,https://energy.gov/eere/buildings/downloads/building-adapter-automatic-mapping-commercial-buildings-scalable-building,University of Virginia will develop a technique to automatically construct new contextual information for sensing and control points based on point names and the raw time series value. This will allow for integration and connectivity from building analytics engines to commercial building management systems with minimal or no manual point mapping.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Sensors & Controls,National Renewable Energy Laboratory,Energy Design and Scoping Tool for DC Distribution Systems,Golden,CO,39.755543,-105.2211,https://energy.gov/eere/buildings/downloads/energy-design-and-scoping-tool-dc-distribution-systems,"This project will assess the DC power market to understand distribution opportunities, technical and analytical gaps for residential and commercial applications, and inform the analysis, design, and planning capabilities of these loads. The team will extend DOE’s open-source whole-building energy modeling tools platform—the EnergyPlus engine and OpenStudio software development kit—with power distribution system modeling capabilities to enable evaluation of energy and economic benefits of AC, DC, and hybrid power distribution systems.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Sensors & Controls,University of California - Berkeley,Low-Cost Identification and Monitoring of Diverse MELs in Residential and Commercial Buildings with PowerBlade,Berkeley,CA,37.871593,-122.272747,https://energy.gov/eere/buildings/downloads/low-cost-identification-and-monitoring-diverse-mels-residential-and,"The team led by the University of California-Berkeley will integrate the previously developed PowerBlade wireless AC plug-through meters to measure real, reactive, and apparent power with load monitoring based on extracting high-fidelity electrical waveform features to capture power profiles and automatically identify and categorize MELs in a scalable manner.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Sensors & Controls,PARC,Ultra-Low Swap CO2 Sensing for Demand Control Ventilation,Palo Alto,CA,37.441883,-122.143019,https://energy.gov/eere/buildings/downloads/ultra-low-swap-co2-sensing-demand-control-ventilation,"The team will integrate the developed sensing medium into PARC’s previously developed flexible hybrid electronics (FHE) peel-and-stick platform that measures humidity, temperature, light, strain, and gases such as carbon monoxide, methane, ammonia, and hydrogen sulfide at an anticipated cost of <$15/node at scale.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Sensors & Controls,University of Virginia,Improving Energy Efficiency of Wireless Communication Circuitry in Miscellaneous Electric Loads,Charlottesville,VA,38.0293,-78.4767,https://energy.gov/eere/buildings/downloads/improving-energy-efficiency-wireless-communication-circuitry-miscellaneous,"As part of an ongoing effort to enhance low-power wireless communication, this project will develop a wireless connectivity module made of radio frequency (RF) hardware and systems software that enables RF connectivity at over 50% lower active power consumption for integration into MELs.",Funding Opportunity,Inactive
Commercial Buildings Integration,Technology & Systems Validation,"Steven Winter Associates, Inc.","A Systems Approach to Achieving Deep Heating Savings through Measurement, Management and Motivation",Washington,DC,38.907192,-77.036871,https://energy.gov/eere/buildings/downloads/systems-approach-achieving-deep-heating-savings-through-measurement,"This project will validate the heating and occupant-based savings in existing multifamily units using “smart” and connected terminal unit controls, such as wireless thermostatic radiator valves, as part of an integrated energy management system.",Funding Opportunity,Active
Residential Buildings Integration,Technology & Systems Validation,Buildings Envelope Materials,Validation Study of Experimental Insulating and Air-Sealing Technology for Enclosed Roof Cavities,Lexington,MA,42.443037,-71.228964,https://energy.gov/eere/buildings/downloads/validation-study-experimental-insulating-and-air-sealing-technology,"The goal of this project is to develop a minimally invasive retrofit insulation technology for enclosed roof cavities such as cathedral ceilings, flat roofs, and dormer roofs.",Funding Opportunity,Active
Residential Buildings Integration,Technology & Systems Validation,University of Central Florida,Baseline Indoor Air Quality (IAQ) Field Study in Occupied New U.S. Homes: Hot-Humid and Mixed-Humid Climates,Orlando,FL,28.538336,-81.379236,https://energy.gov/eere/buildings/downloads/baseline-indoor-air-quality-iaq-field-study-occupied-new-us-homes-hot-humid,This project is part of a national study aimed at characterizing indoor air quality in occupied homes.,Funding Opportunity,Active
Residential Buildings Integration,"R&D - HVAC, Water Heating, and Appliances","Home Innovation Research Labs, Inc.",Advanced HVAC Equipment Design Strategies for Optimal Efficiency and Humidity Control,Upper Marlboro,MD,38.815947,-76.749691,https://energy.gov/eere/buildings/downloads/advanced-hvac-equipment-design-strategies-optimal-efficiency-and-humidity,"The purpose of this research is to develop and demonstrate an integrated humidity and ventilation control solution to improve indoor air quality, comfort, and energy performance for low-load homes in hot-humid and mixed-humid climates.",Funding Opportunity,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",United Technologies Research Center,High-Efficiency Low Global-Warming Potential (GWP) Packaged Rooftop System,East Hartford,CT,41.763422,-72.612834,https://energy.gov/eere/buildings/downloads/high-efficiency-low-global-warming-potential-gwp-packaged-rooftop-system,"United Technologies Research Center (UTRC) will develop and validate a high-efficiency, high-speed 5TR packed rooftop system that uses a sustainable, nonflammable, nontoxic and high-efficiency refrigerant.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Building Energy Modeling,Lawrence Berkeley National Laboratory,Radiance,Berkeley,CA,37.871593,-122.272747,https://www.energy.gov/eere/buildings/downloads/radiance,"Radiance is a free and open-source ray-tracing engine that is used extensively by engineering firms for innovative lighting, solar control, and daylighting design to improve the energy efficiency of buildings. The objective of this project is to improve the speed, accuracy, and range of modeling capabilities of Radiance, specifically with respect to annual daylighting performance of optically complex fenestration materials and systems.",Lab Award,Active
Emerging Technologies,Energy Data & Design/Decision Tools,Lawrence Berkeley National Laboratory,Advancing the Commercial Building Energy Saver to Provide Actionable Insights into Building Retrofits and to Enable Broad-Based Commercialization,Berkeley,CA,37.871593,-122.272747,https://www.energy.gov/eere/buildings/downloads/advancing-commercial-building-energy-saver-provide-actionable-insights,"Lawrence Berkeley Natioanal Laboratory (LBNL) will extend CBES Pro according to recommendations made by the Lucid team and 2030 Districts city partners. LBNL will extend CBES Pro to cover large commercial buildings including offices, hotels, hospitals, and schools. LBNL will also add a feature that allows users to optimize retrofit recommendations based on specified investment criteria.",TCF,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Structured Carbon Nano-rods for Intense Dehumidification,Oak Ridge,TN,36.010356,-84.269645,https://www.energy.gov/eere/buildings/downloads/carbon-nanorods-intense-dehumidification,"Oak Ridge National Laboratory is working on a project involving dehumidification of atmospheric air using non-uniform electrostatic fields. This idea exploits the electrical properties of water, namely, the dipole moment. ORNL will synthesize carbon Nano-rods for controlled water sequestration using applied electric fields.",Lab Award,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Design and Optimization for New Refrigerant Blends,Oak Ridge,TN,36.010356,-84.269645,https://www.energy.gov/eere/buildings/downloads/design-and-optimization-new-refrigerant-blends,"Oak Ridge National Laboratory will extend the ORNL Heat Pump Design Model to perform system-level evaluations and optimizations of newly identified fluids for specific applications. Additionally, this project will establish a public-domain, online knowledgebase for equipment design and optimization, and represent heat transfer and pressure drop characteristics of low-GWP alternative refrigerant blends using the hardware-based equipment design model.",Lab Award,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Peel and Stick Refrigerant Sensor for Flammable Refrigerant Detection,Oak Ridge,TN,36.010356,-84.269645,https://www.energy.gov/eere/buildings/downloads/peel-and-stick-sensor-refrigerant-leak-detection,"The focus of this research is to develop a low-cost, integrated sensor system to detect NH3, CFCs, and HCFCs, as this is critical to address the health, safety and environmental issues associated with current and emerging low-GWP refrigerants. Currently, there is a lack of low-cost sensors for direct and continuous monitoring of refrigerant leakage.",Lab Award,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Radiation Defrosting Technique,Oak Ridge,TN,36.010356,-84.269645,https://www.energy.gov/eere/buildings/downloads/radiation-defrosting-technique,"Current defrost practices, including the use of electric resistance heaters and hot gas, have several disadvantages due to their adverse impact on system efficiency, additional power requirements and complicated control systems. Due to these disadvantages, utilization of ultraviolet (UV) and microwave radiation is proposed as an alternative solution due to advantages in energy efficiency and process control. ORNL has test facilities to understand the interaction of radiation with humid air, bare metal surfaces, and the frost.",Lab Award,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Electrochemical Compressor (ECC) Refrigerator,Oak Ridge,TN,36.010356,-84.269645,https://www.energy.gov/eere/buildings/downloads/electrochemical-compressor-ecc-refrigerator,"ORNL will develop a domestic refrigerator using an innovative electrochemical compressor (ECC). Unlike mechanical compressors, electrochemical compressors don’t have any moving parts and thus are not subject to volumetric efficiency loss due to residual volume, and isentropic efficiency loss due to internal heating, motor efficiency and friction loss.",Lab Award,Active
Emerging Technologies,R&D - Advanced Lighting,"OLEDWorks, LLC",Printed Anodes and Internal Extraction Layers on Flexible Glass to Create Cost-Effective High-Efficacy Bendable OLED Lighting Panels,Rochester,NY,43.16103,-77.610922,https://www.energy.gov/eere/ssl/downloads/printed-anodes-and-internal-extraction-layers-flexible-glass-create-cost,"OLEDWorks will work with a variety of suppliers (companies and universities) to demonstrate the world’s highest-efficacy bendable OLED lighting panels by co-optimizing flexible glass substrates, a variety of internal extraction layers (IELs), printable silver nanowire anodes, and multi-stack OLED structures.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Advanced Lighting,Electroninks Inc.,"Microfluidic Printing of High Performance Microgrids for High Efficiency, Flexible Organic Light Emitting Diodes",Austin,TX,30.267153,-97.743061,https://www.energy.gov/eere/ssl/downloads/microfluidic-printing-high-performance-microgrids-high-efficiency-flexible,"Electroninks, in collaboration with the University of Pittsburgh, will develop a viable replacement for indium tin oxide (ITO) for use as anodes in the production of OLEDs.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Advanced Lighting,Hazen Research Inc.,Low-Cost Flexible Transparent Electrodes Based on Ag–ZTOF (Zn–Sn–O–F) Amorphous Composites through Inkjet Printing,Golden,CO,39.755543,-105.2211,https://www.energy.gov/eere/ssl/downloads/low-cost-flexible-transparent-electrodes-based-ag-ztof-zn-sn-o-f-amorphous,"Hazen Research, in partnership with the National Renewable Energy Laboratory, will develop and demonstrate a low-cost transparent conductive electrode (TCE) based on silver metal–zinc tin oxyfluoride (Ag–ZTOF) amorphous composite thin films using novel metalorganic precursors that use through-inkjet printing (IJP).",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Advanced Lighting,Tetramer Technologies,Transparent Conductive Anodes for Solid-State Lighting,Atlanta,GA,33.748995,-84.387982,https://www.energy.gov/eere/ssl/downloads/transparent-conductive-anodes-solid-state-lighting,"Tetramer Technologies will prepare bi-layered reduced graphene oxide (rGO) films using a dispersion-by-exfoliation technique previously developed by the subcontractor, Clemson University.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Advanced Lighting,"InnoSense, LLC",Nanomaterials-Enabled Transparent Conductive Film,Torrance,CA,33.835492,-118.340629,https://www.energy.gov/eere/ssl/downloads/nanomaterials-enabled-transparent-conductive-film,"InnoSense, in collaboration with the University of Virginia, proposes to develop a transparent conductive oxide (TCO) using a composite matrix of carbon nanotubes (CNTs), graphene oxide (GO), and aluminum doped zinc oxide (AZO) nanoparticles (NPs).",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Window & Building Envelope,Oak Ridge National Laboratory,Ultra-High R/inch VIP with New Developmental Core Material,Oak Ridge,TN,36.010356,-84.269645,https://www.energy.gov/eere/buildings/downloads/r25-polyisocyanurate-composite-insulation-material,This project is focusing on novel core material development to significantly improve perofrmance and reduce costs.,Lab Award,Inactive
Emerging Technologies,R&D - Building Energy Modeling,Lawrence Berkeley National Laboratory,EnergyPlus 10X,Berkeley,CA,37.871593,-122.272747,https://www.energy.gov/eere/buildings/downloads/energyplus-10x,This project will use a holistic approach to improve EnergyPlus’ annual simulation run-time by a factor of 10 relative to the October 2018 9.0.0 release. Reducing EnergyPlus runtime improves user productivity in conventional design and analysis tasks and supports quick decision making on key strategies of energy efficiency for new and existing buildings.,Lab Award,Active
Emerging Technologies,,National Renewable Energy Laboratory,ASHRAE Standard 140 Maintenance and Development,Golden,CO,39.755543,-105.2211,https://www.energy.gov/eere/buildings/downloads/ashrae-standard-140-maintenance-and-development,"This project continues BTO’s support for ASHRAE Standard 140 “Standard Method of Test for Building Energy Simulation Computer Programs,” which aims to increase confidence in the use of building energy modeling (BEM) by creating standardized and citable test procedures for validating, diagnosing, and improving the current generation of BEM software. This project will accelerate the development and improve the accessibility of Standard 140 while adding new empirical validation test cases.",Lab Award,Active
Residential Buildings Integration,Technology & Systems Validation,Oak Ridge National Laboratory,Field Study of Modified Atmosphere Insulation Technology for Vinyl Siding Retrofit,Oak Ridge,TN,36.010356,-84.269645,https://www.energy.gov/eere/buildings/downloads/field-study-modified-atmosphere-insulation-technology-vinyl-siding-retrofit,"The project team will continue development and field testing modified atmosphere insulation (MAI) technologies and composite siding systems comprised of MAI panels mated with vinyl and/or large-scale composite siding to verify performance, installation feasibility and automated manufacturing capabilities.",Lab Award,Active
Residential Buildings Integration,,National Renewable Energy Laboratory,Optimizing the Installed Performance of Residential HVAC Systems,Golden,CO,39.755543,-105.2211,https://www.energy.gov/eere/buildings/downloads/optimizing-installed-performance-residential-hvac-systems,Studies estimate that more than 65% of residential HVAC systems have been improperly installed and are estimated to use 20%-30% more energy than necessary. This project will address this issue by developing field test methods and analytical techniques to assess HVAC fault impacts and by developing a simplified commissioning method.,Lab Award,Active
Residential Buildings Integration,,Pacific Northwest National Laboratory,Wall Upgrades for Deep Residential Energy Renovation,Richland,WA,46.285691,-119.284462,https://www.energy.gov/eere/buildings/downloads/wall-upgrades-deep-residential-energy-renovation,"This project seeks to identify cost-effective ways to retrofit residential wall assemblies that result in durable, energy-efficient, and marketable strategies for deep energy retrofits. The project team will investigate the performance of the most promising wall insulation assemblies selected based on a literature review, an expert meeting, input from a project advisory group, thermal and hydrothermal modeling of candidate wall upgrade approaches, and a techno-economic analysis of each option. They will further investigate favorable wall insulation upgrade approaches through lab and/or field testing.",Lab Award,Active
