Program,Activity,ProjectLead,ProjectTitle,City,State,Latitude,Longitude,DOE Project Web Page,Concise Description,Funding Type,Status
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Rotating Heat Exchanger Technology for Residential HVAC,Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/downloads/advanced-rotating-heat-exchangers,"Oak Ridge National Laboratory will develop a high-impact heating, ventilation, air conditioning, and refrigeration (HVAC&R) technology that can be used in many applications. This technology could lead to 0.7 - 1.1 quads of energy savings.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Sandia National Laboratory,"RVCC Technology: A Pathway to Ultra-Efficient Air Conditioning, Heating, and Refrigeration",Albuquerque,NM,35.085334,-106.605553,http://energy.gov/eere/buildings/downloads/rotary-vapor-compression-cycle-technology-pathway-ultra-efficient-air,Sandia National Laboratories will develop a vapor compression cycle architecture. This technology can lead to an estimated 20% decrease in energy consumption in air conditioners and even greater savings when used as a heat pump in cold climates.,Funding Opportunity,Inactive
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,Association of Bay Area Governments,San Francisco BayREN: Integrated Commercial Retrofits,Oakland,CA,37.804364,-122.271114,http://www.energy.gov/eere/buildings/downloads/san-francisco-bayren-integrated-commercial-retrofits,The Association of Bay Area Governments will perform modeling analysis in nine Bay Area counties to help small and medium businesses achieve the cost effective energy efficiency improvements. The BayREN Integrated Commercial Retrofits project will modify and enhance existing open source tools to perform large-scale building energy modeling analysis on commercial buildings throughout the San Francisco Bay Area.,Funding Opportunity,Active
Emerging Technologies,R&D - Advanced Lighting,"Cree, Inc.","Scalable Light Module for Low-Cost, High Efficiency LED Luminaires",Durham,NC,35.994033,-78.898619,http://energy.gov/eere/buildings/downloads/scalable-light-module-low-cost-high-efficiency-led-luminaires,"Cree will develop a versatile, low-cost, low profile LED light-module architecture that facilitates the assembly of a variety of high-efficacy, broad-area LED luminaires. This lightweight architecture will be applicable to numerous high-efficiency, broad-area LED luminaires and will ultimately reduce the cost per lumen of LED lighting.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,"Cree, Inc.","Scalable, Economical Fabrication Processes for Ultra-compact Warm-White LEDs",Durham,NC,35.994033,-78.898619,http://energy.gov/eere/buildings/downloads/scalable-economical-fabrication-processes-ultra-compact-warm-white-leds,"Cree, Inc. will develop a low-cost, high-efficiency LED architecture through modification to the conventional LED fabrication process flow. These new processes can be deployed in a variety of LED production lines, leading to reduced lighting energy use.",Funding Opportunity,Inactive
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,International Center for Appropriate and Sustainable Technology,Scaling Energy Efficiency Retrofits for Small Commercial Apartment Buildings,Lakewood,CO,39.70471,-105.081373,http://www.energy.gov/eere/buildings/downloads/scaling-energy-efficiency-retrofits-small-commercial-apartment-buildings,"International Center for Appropriate and Sustainable Technology will expand its one-stop-shop model to address the Small Commercial Apartment Property market with deeper retrofit. Using the model is expected to cut energy use by 20-30% in small commercial apartment properties, reduce individual building utility bills by $3,100 annually, and create 200 jobs.",Funding Opportunity,Active
Emerging Technologies,R&D - Sensors & Controls,Pacific Northwest National Laboratory,"Sensors, Controls, and Transactive Energy Research",Richland,WA,46.285691,-119.284462,http://energy.gov/eere/buildings/downloads/sensors-controls-and-transactive-energy-research-0,"The major project objectives are to increase the operational efficiency and thereby reduce the operational cost of commercial buildings with very little or no capital investment, provide tools that can lead to decreased energy and peak electric power demand by commercial buildings, and ensure persistence of savings from re-tuning. These objectives support BTO corporate goals of cost-effectively reducing energy use in a typical commercial building by 20% by 2020 and 50% by 2050.",Lab Award,Inactive
Commercial Buildings Integration,Technology & Systems Validation,enVerid Systems,"Significant HVAC Energy Savings enabled by Practical, Low-Cost Air Treatment Technology",Houston,TX,29.760427,-95.369803,http://energy.gov/eere/buildings/downloads/enverid-systems-hvac-load-reduction,"enVerid Systems will demonstrate modular air treatment systems that use less energy to remove indoor air pollutants, such as carbon dioxide, in order to drive widespread adoption of this technology. This approach could reduce the energy consumption in commercial and public buildings by up to 50%.",Funding Opportunity,Active
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,Ecology Action of Santa Cruz,Small Market Advanced Retrofit Transformation Program (SMART Scale),Santa Cruz,CA,36.974117,-122.030796,http://energy.gov/eere/buildings/downloads/ecology-action-small-market-advanced-retrofit-transformation-program-2015,"Ecology Action of Santa Cruz will develop a platform for energy efficiency program administrators that offers a comprehensive set of energy-saving measures, integrated financing tools, and expedited project measurement and verification via a contractor-driven delivery model. The platform seeks to average at least 20% energy savings per building.",Funding Opportunity,Active
Commercial Buildings Integration,Technology & Systems Validation,Los Angeles Cleantech Incubator,SoCal Edge,Los Angeles,CA,34.052234,-118.243685,http://energy.gov/eere/buildings/downloads/los-angeles-cleantech-incubator-socal-edge,"The Los Angeles Cleantech Incubator will  accelerate the market adoption of super-efficient building technologies by creating a replicable transparent process for taking technologies from pilot to portfolio. The project will measure, document, and publicize the results of highly energy-efficient technology pilot demonstration projects, as well as help property owners define clear metrics to scale up projects.",Funding Opportunity,Active
Emerging Technologies,R&D - Advanced Lighting,Pacific Northwest National Laboratory,Solid State Lighting Applied Technology R&D,Richland,WA,46.285691,-119.284462,http://www.energy.gov/eere/buildings/downloads/ssl-technology-application-rd,"The Pacific Northwest National Laboratory (PNNL) aims to increase the efficacy and the energy savings of solid-state lighting (SSL) products and systems used in the United States by monitoring SSL technology advances and providing field and laboratory evaluations of emerging products. Impartial analysis from DOE/PNNL identifies and characterizes technology issues early on, alerting manufacturers to needed improvements, and helping to put detailed information into the hands of buyers. In contrast to a single project focus, PNNL technology application R&D projects address broad issues related to SSL technology performance, with a view that spans the entire industry. This approach creates highly effective feedback loops, inducing manufacturers to make technology improvements with their own funding, more quickly than otherwise would occur. It also feeds back into DOE planning for R&D priorities and investments.",Lab Award,Active
Emerging Technologies,R&D - Advanced Lighting,National Renewable Energy Laboratory,Solid-State Lighting Clean Energy Manufacturing Analysis Center Technology Analysis,Golden,CO,39.755543,-105.2211,http://www.energy.gov/eere/buildings/downloads/ssl-cemac-technology-analysis,"The National Renewable Energy Laboratory aims to understand manufacturing costs and value-add along the supply chain, U.S.-specific competitive advantages, and potential market impacts of the manufacture of the components in LED luminaires for commercial applications. These analyses will give decision-makers the data and insights needed to inform investment strategies, policy, and other decisions to promote economic growth and manufacturing in the transition to the clean energy economy.",Lab Award,Inactive
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,Lime Energy,Solutions for Energy Efficiency among Small Businesses in Low-Income Communities,Newark,NJ,40.735657,-74.172367,http://www.energy.gov/eere/buildings/downloads/solutions-improve-energy-efficiency-us-small-and-medium-commercial,"Lime Energy ÿand partners will implement an energy efficiency service delivery model for small and medium size businesses in low-income communities, aiming to complete more than 1,000 retrofits featuring a performance guarantee and meter-validated savings. The results will create 60 jobs and generate $30 million in economic activity.",Funding Opportunity,Active
Emerging Technologies,R&D - Advanced Lighting,Arizona State University,Stable and Efficient White OLEDs Based on a Single Emissive Material,Tempe,AZ,33.42551,-111.940005,http://energy.gov/eere/buildings/downloads/stable-and-efficient-white-oleds-based-single-emissive-material,Arizona State University will develop efficient and stable white OLEDs that employ a single emissive material. This advancement in OLED technology could lead to building energy use reductions.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,University of Michigan - Ann Arbor,"Stable, High-Efficiency White Electrophosphorescent Organic Light Emitting Devices by Reduced Molecular Dissociation",Ann Arbor,MI,42.280826,-83.743038,http://energy.gov/eere/buildings/downloads/stable-high-efficiency-white-electrophosphorescent-organic-light-emitting,"The University of Michigan, Ann Arbor, will develop new strategies for increasing the lifetime of blue phosphorescent OLEDs (PHOLEDs). Longer-life PHOLEDs could provide notable energy and cost savings.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Window & Building Envelope,Glint Photonics,Stationary Concentrator Daylighting System,Burlingame,CA,37.57787,-122.34809,http://www.energy.gov/eere/buildings/downloads/stationary-concentrator-daylighting-system#\\vse-endc-file02\home\AIsaacson\BTO Comms\Projects Map\Phase 3 Update 1\FY16FOAProjectPages.xlsx#Sheet1!D41,"Glint Photonics will develop a stationary, roof-mounted concentrator daylighting system that uses internal optics to track the sun without external movement. This daylighting system will offset 40%-70% of the building?s electricity used for lighting and could potentially generate a total impact of 0.93 quads by 2030.",Funding Opportunity,Active
Emerging Technologies,R&D - Window & Building Envelope,Lawrence Berkeley National Laboratory,Stay-Clean and Durable White Elastomeric Roof Coatings,Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/downloads/stay-clean-and-durable-white-elastomeric-roof-coatings,Lawrence Berkeley National Laboratory is developing stay-clean white elastomeric roof coatings (ERCs) with a three-year aged solar reflectance (SR) of at least 0.75 and a service life of 15 years or more. These roof coatings could result in annual net energy cost savings of $0.63B and annual net primary energy savings of 0.083 quad in climate zones 3 and 4.,Lab Award,Inactive
Residential Buildings Integration,Technology & Systems Validation,"Home Innovation Research Labs, Inc.",Structural Support of Windows in Walls with Continuous Insulation,Upper Marlboro,MD,38.815947,-76.749691,http://www.energy.gov/eere/buildings/downloads/structural-support-windows-walls-continuous-insulation#\\vse-endc-file02\home\AIsaacson\BTO Comms\Projects Map\Phase 3 Update 1\FY16FOAProjectPages.xlsx#Sheet1!D42,"Home Innovation Research Labs will establish performance criteria and conduct comprehensive testing to evaluate the structural performance of continuous insulation walls with windows of varying shapes and sizes, insulation thicknesses, and installation methods.",Funding Opportunity,Active
Emerging Technologies,R&D - Advanced Lighting,RTI International,System Reliability Model for Solid-State Lighting Luminaires,Research Triangle Park,NC,35.899168,-78.86364,http://energy.gov/eere/buildings/downloads/system-reliability-model-solid-state-lighting-luminaires-0,"RTI International will develop and validate a reliability model and accelerated life testing methodologies to predict the lifetime of integrated solid-state lighting luminaires. By improving testing methods, this project will give additional product information to manufacturers and SSL users who seek to justify higher first cost for SSL products over less efficient lighting technologies.",Funding Opportunity,Inactive
Building Energy Codes,,Southwest Energy Efficiency Alliance,Technical Assistance for Code Implementation,Boulder,CO,40.014986,-105.270546,http://www.energy.gov/eere/buildings/downloads/technical-assistance-code-implementation,"A variety of national, regional, and state-level stakeholders play critical roles in model code implementation.  The U.S. Department of Energy (DOE) partners with several organizations who provide technical assistance for state & local code implementation, which helps to improve model code adoption and increase compliance rates.",Direct Funded,Active
Building Energy Codes,,Midwest Energy Efficiency Alliance,Technical Assistance for Code Implementation,Chicago,IL,41.878114,-87.629798,http://www.energy.gov/eere/buildings/downloads/technical-assistance-code-implementation,"A variety of national, regional, and state-level stakeholders play critical roles in model code implementation.  The U.S. Department of Energy (DOE) partners with several organizations who provide technical assistance for state & local code implementation, which helps to improve model code adoption and increase compliance rates.",Direct Funded,Active
Building Energy Codes,,National Association of State Energy Officials,Technical Assistance for Code Implementation,Arlington,VA,38.87997,-77.10677,http://www.energy.gov/eere/buildings/downloads/technical-assistance-code-implementation,"A variety of national, regional, and state-level stakeholders play critical roles in model code implementation.  The U.S. Department of Energy (DOE) partners with several organizations who provide technical assistance for state & local code implementation, which helps to improve model code adoption and increase compliance rates.",Direct Funded,Active
Building Energy Codes,,Northwest Energy Efficiency Alliance,Technical Assistance for Code Implementation,Portland,OR,45.523062,-122.676482,http://www.energy.gov/eere/buildings/downloads/technical-assistance-code-implementation,"A variety of national, regional, and state-level stakeholders play critical roles in model code implementation.  The U.S. Department of Energy (DOE) partners with several organizations who provide technical assistance for state & local code implementation, which helps to improve model code adoption and increase compliance rates.",Direct Funded,Active
Building Energy Codes,,Northeast Energy Efficiency Partnerships,Technical Assistance for Code Implementation,Lexington,MA,42.443037,-71.228964,http://www.energy.gov/eere/buildings/downloads/technical-assistance-code-implementation,"A variety of national, regional, and state-level stakeholders play critical roles in model code implementation.  The U.S. Department of Energy (DOE) partners with several organizations who provide technical assistance for state & local code implementation, which helps to improve model code adoption and increase compliance rates.",Direct Funded,Active
Building Energy Codes,,Southeast Energy Efficiency Alliance,Technical Assistance for Code Implementation,Atlanta,GA,33.748995,-84.387982,http://www.energy.gov/eere/buildings/downloads/technical-assistance-code-implementation,"A variety of national, regional, and state-level stakeholders play critical roles in model code implementation.  The U.S. Department of Energy (DOE) partners with several organizations who provide technical assistance for state & local code implementation, which helps to improve model code adoption and increase compliance rates.",Direct Funded,Active
Building Energy Codes,,South-Central Partnership for Energy Efficiency as a Resource (SPEER),Technical Assistance for Code Implementation,Austin,TX,30.267153,-97.743061,http://www.energy.gov/eere/buildings/downloads/technical-assistance-code-implementation,"A variety of national, regional, and state-level stakeholders play critical roles in model code implementation.  The U.S. Department of Energy (DOE) partners with several organizations who provide technical assistance for state & local code implementation, which helps to improve model code adoption and increase compliance rates.",Direct Funded,Active
Emerging Technologies,Energy Data & Design/Decision Tools,National Renewable Energy Laboratory,Test Procedures for Building Energy Simulation Tools,Golden,CO,39.755543,-105.2211,http://energy.gov/eere/buildings/downloads/test-procedures-building-energy-simulation-tools,"The National Renewable Energy Laboratory will develop test procedures for validating, diagnosing, and improving Building Energy Simulation tools. This will increase confidence in the use of building energy simulation programs by creating standardized and citable test suites for validating, diagnosing, and improving the current generation of software.",Lab Award,Inactive
Building Energy Codes,,National Association of State Energy Officials,Texas Residential Energy Code Field Study,Austin,TX,30.267153,-97.743061,http://energy.gov/eere/buildings/downloads/measuring-and-increasing-residential-energy-code-compliance-texas,"The National Association of State Energy Officials will investigate whether investing in statewide building energy code education, training, and outreach programs can produce a significant change in residential building code compliance rates. The results of these activities provide the necessary business case to influence non-government entities, particularly utilities, to make investments in similar programs, which could lead to substantial national energy savings.",Funding Opportunity,Active
Emerging Technologies,R&D - Advanced Lighting,University of California - Los Angeles,The Approach to Low-Cost High-Efficiency OLED Lighting,Los Angeles,CA,34.052234,-118.243685,http://energy.gov/eere/buildings/downloads/approach-low-cost-high-efficiency-oled-lighting,"The University of California, Los Angeles, will develop components for the fabrication of OLEDs with improved energy efficiency and reduced manufacturing cost. This improved OLED technology could lead to lower-cost, more-efficient lighting options being available on the market.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Sensors & Controls,Case Western University,"Transforming Ordinary Buildings into Smart Buildings via Low-Cost, Self-Powering Wireless Sensors and Sensor Networks",Cleveland,OH,41.49932,-81.694361,http://energy.gov/eere/buildings/downloads/transforming-ordinary-buildings-smart-buildings-low-cost-self-powering,"Case Western Reserve University will design and demonstrate low-cost, compact, easy-to-deploy, maintenance-free sensors that will transform buildings into ""smart"" buildings. This technology has the potential to reduce building energy use, lower buildings' environmental impact, and increase building occupant comfort, all at a low cost.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,Lucent Optics Inc.,Ultra-Thin Flexible LED Lighting Panel,Sacramento,CA,38.581572,-121.4944,http://www.energy.gov/eere/buildings/downloads/ultra-thin-flexible-led-lighting-panels,"Lucent Optics Inc. (Sacramento, CA)ÿwill develop and demonstrate an ultra-thin flexible LED lighting panel.",Small Business Innovation Research,Active
Emerging Technologies,R&D - Advanced Lighting,Pennsylvania State University,"Understanding, Predicting, and Mitigating Catastrophic Shorts for Improved OLED Lighting Panel Reliability",State College,PA,40.793395,-77.860001,http://energy.gov/eere/buildings/downloads/understanding-predicting-and-mitigating-catastrophic-shorts-improved-oled,"Pennsylvania State University will develop a way to better understand and predict the occurrence of short circuits in OLED lighting panels, in order to reduce failure rates by means of new, more-informative panel diagnostics, a modeling capability to predict mean time to failure, and new anti-shorting strategies that address the root cause of the problem.",Funding Opportunity,Active
Emerging Technologies,,Lawrence Berkeley National Laboratory,US-China Joint Initiative: Clean Energy Research Center (CERC),Berkeley,CA,37.871593,-122.272747,https://energy.gov/eere/buildings/downloads/us-china-clean-energy-research-center-cerc,"As the world?s largest energy producers, energy consumers and greenhouse gas emitters, the United States and China created a joint US-China Clean Energy Research Center (CERC). Research and technology development have helped drive the two countries toward greater energy efficiency, helping them meet their climate goals.",Lab Award,Active
Emerging Technologies,Energy Data & Design/Decision Tools,University of California - Davis,User-Oriented Modeling Tools for Advanced Hybrid and Climate-Appropriate Rooftop Air Conditioners,Davis,CA,38.544907,-121.740517,http://energy.gov/eere/buildings/downloads/user-oriented-modeling-tools-advanced-hybrid-and-climate-appropriate,"The University of California, Davis, will have undergraduate students work with industry partners to develop and validate a new solution to model rooftop air conditioners. This model could produce climate-specific advantages in comfort and efficiency.",Funding Opportunity,Inactive
Emerging Technologies,,Lawrence Berkeley National Laboratory,US-India Centre for Building Energy Research and Development (CBERD),Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/downloads/us-india-centre-building-energy-research-and-development-cberd,"The Lawrence Berkeley National Laboratory works with international and U.S. partners to develop and test building materials that can help promote mixed mode operations, reduce cooling and heating demand in Indian and US buildings, and re-optimize existing cooling and dehumidification system approaches for India?s commercial/multi-family new construction market. The U.S.-India Joint Center for Building Energy Research and Development (CBERD) focuses on reducing both countries? energy consumption through projects and development in the buildings sector.",Lab Award,Active
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,National Renewable Energy Laboratory,Using Small Business Administration Financing for Energy Efficiency Upgrades,Golden,CO,39.755543,-105.2211,http://www.energy.gov/eere/buildings/downloads/using-small-business-administration-financing-energy-efficiency-upgrades,This project is deploying Small Business Administration  (SBA) resources developed by the National Renewable Energy Laboratory. This work seeks to increase the number of SBA-originated loans for energy efficiency projects by deploying dedicated resources for borrowers and lenders through SBA?s strategic deployment partners.,Lab Award,Active
Emerging Technologies,R&D - Window & Building Envelope,National Renewable Energy Laboratory,Vacuum Insulation for Windows,Golden,CO,39.755543,-105.2211,http://energy.gov/eere/buildings/downloads/vacuum-insulation-windows,The National Renewable Energy Laboratory will develop high-performing vacuum insulation for use on installed windows. This technology could offer an alternative to replacing existing windows with highly insulting windows and save 2 - 3 quads of energy annually.,Funding Opportunity,Inactive
Residential Buildings Integration,Technology & Systems Validation,"Steven Winter Associates, Inc.",Ventilation Integrated Comfort System,Washington,DC,38.907192,-77.036871,http://www.energy.gov/eere/buildings/downloads/ventilation-integrated-comfort-system-vics#\\vse-endc-file02\home\AIsaacson\BTO Comms\Projects Map\Phase 3 Update 1\FY16FOAProjectPages.xlsx#Sheet1!D44,"Steven Winter Associates will work with manufacturing partner Mitsubishi Electric to develop, test, and demonstrate an integrated energy recovery ventilation and heat pump system for residential buildings.",Funding Opportunity,Active
Emerging Technologies,R&D - Sensors & Controls,Lawrence Berkeley National Laboratory,Virtual Sensing,Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/downloads/virtual-sensing,"Virtual or inferential sensing can provide a lower cost and less invasive proxy for monitoring building performance and operation compared to physical sensing techniques.  As part of a multi-lab effort, Lawrence Berkeley National Laboratory will extract virtual sensing data from field studies, develop algorithms utilizing this data, and partner with manufacturers to incorporate results into Wi-Fi management systems.",Lab Award,Inactive
Emerging Technologies,R&D - Sensors & Controls,Drexel University,VOLTTRON Compatible Whole-Building Root-Fault Detection and Diagnosis,Philadelphia,PA,39.952584,-75.165222,http://energy.gov/eere/buildings/downloads/volttron-compatible-whole-building-root-fault-detection-and-diagnosis,"Drexel University will develop an innovative and cost-effective automated fault detection and diagnostics tool that better identifies issues related to building energy use. This project is expected to impact a total energy market of 7,306 TBTU, with projected national energy savings of 1,096 TBTU with a simple payback time per installation of less than 1 year.",Funding Opportunity,Active
Commercial Buildings Integration,Technology & Systems Validation,Pacific Northwest National Laboratory,VOLTTRON Technology to Market,Richland,WA,46.285691,-119.284462,http://energy.gov/eere/buildings/volttron,"VOLTTRON? is an open-source, secure, extensible, and modular technology that supports a wide range of applications, such as managing end-use loads, increasing building efficiency, integration of distributed variable renewable energy, accessing storage, or improving electric vehicle charging.",ET/CBI Lab Call,Inactive
Emerging Technologies,Technology & Systems Validation,Pacific Northwest National Laboratory,VOLTTRON Technology to Market,Richland,WA,46.285691,-119.284462,http://energy.gov/eere/buildings/volttron,"VOLTTRON? is an open-source, secure, extensible, and modular technology that supports a wide range of applications, such as managing end-use loads, increasing building efficiency, integration of distributed variable renewable energy, accessing storage, or improving electric vehicle charging.",ET/CBI Lab Call,Inactive
Emerging Technologies,R&D - Sensors & Controls,SLAC National Accelerator Laboratory,VOLTTRON Testing Tool Kit (VTTK),Menlo Park,CA,37.45296,-122.181725,https://energy.gov/eere/buildings/downloads/volttron-testing-tool-kit,"SLAC is working with partners Kisensum and Pacific Northwest National Laboratory to develop a VOLTTRON Testing Took kit that will enhance the VOLTTRON Open Source platform that is currently under development by adding testing tools.  This makes VOLTTRON more accessible and available to small and medium facility owners by allowing for quick analysis of the potential of behind-the-meter storage, integration of renewables and responsiveness to the wholesale energy process.",Funding Opportunity,Active
Building Energy Codes,,Appalachian Residential Consortium for Energy Efficiency,West Virginia Residential Energy Code Field Study,Huntington,WV,38.41925,-82.445154,http://www.energy.gov/eere/buildings/downloads/west-virginia-residential-energy-code-field-study,"This project will measure the baseline residential energy code compliance rate for West Virginia. This will help enable the necessary business case to influence investments in code compliance education programs, which could lead to substantial energy savings.",Direct Funded,Active
Residential Buildings Integration,Energy Data & Design/Decision Tools,U.S. Department of Energy,Home Energy Score,Washington,DC,38.907192,-77.036871,http://www.energy.gov/eere/buildings/downloads/home-energy-score,"The Home Energy Score helps homeowners and homebuyers understand how much energy a home is expected to use and provides suggestions for improving its energy efficiency. The Home Energy Score includes: 1) the Score itself, 2) facts about the home including data collected and energy use breakdown, and 3) recommendations to improve the Score and the energy efficiency of the home.",Lab Award,Active
Appliance Standards Program,,U.S. Department of Energy,Appliances and Equipment Standards,Washington,DC,38.907192,-77.036871,http://energy.gov/eere/buildings/appliance-and-equipment-standards-program,"The Building Technologies Office implements minimum energy conservation standards for more than 60 categories of appliances and equipment. Products covered by standards represent about 90% of home energy use, 60% of commercial building use, and nearly 30% of industrial energy use.",Lab Award,Active
Residential Buildings Integration,Technology & Systems Validation,U.S. Department of Energy,Building America Program,Washington,DC,38.907192,-77.036871,http://energy.gov/eere/buildings/downloads/building-america-program,"The Building America program invests in research, development, and demonstration activities to pave the way for zero energy ready homes and help solve our industry?s biggest challenges, in both new construction and existing home renovations. By 2025, Building America?s work will help reduce the energy used for space conditioning and water heating in single-family homes by 40% from 2010 levels.",Direct Funded,Active
Commercial Buildings Integration,,National Institute of Building Sciences,Better Buildings Workforce Guidelines,Washington,DC,38.907192,-77.036871,,,Lab Award,Active
Emerging Technologies,R&D - Building Energy Modeling,National Renewable Energy Laboratory,EnergyPlus Hysteresis PCM Model,Golden,CO,39.755543,-105.2211,https://www.energy.gov/eere/buildings/downloads/energyplus-hysteresis-pcm-model,"NRGsim Inc., an advanced energy system modeling and software development company in Portland, OR, has built a prototypical model that could allow DOE?s flagship simulation tool, EnergyPlus, to more accurately simulate the thermal impacts of phase change materials (PCMs) in building envelopes.With guidance from the National Renewable Energy Laboratory (NREL), NRGsim will complete model documentation, develop and perform tests, complete the model feature set?translating measured data into the model, capturing hysteresis effects, and handling sub-cooling effects?and integrate the code into EnergyPlus for deployment.",Small Business Vouchers Pilot,Inactive
Commercial Buildings Integration,Energy Data & Design/Decision Tools,Lawrence Berkeley National Laboratory,Empowering the Next Generation Building Operators with Technology to Increase Energy Efficiency,Berkeley,CA,37.871593,-122.272747,https://www.energy.gov/eere/buildings/downloads/empowering-next-generation-building-operators-technology-increase-energy,"Lawrence Berkeley National Laboratory will provide technical assistance to OutSmart Power Systems to test the performance and efficacy of its offerings, facilitate market connections for piloting and field testing, and extend its suite of advanced operational efficiency analytics. OutSmart?s system allows its users ? building energy managers and others ? to implement efficiency improvements that over time, could reduce building electricity costs by 10 to 20 percent.",Small Business Vouchers Pilot,Inactive
Emerging Technologies,R&D - Window & Building Envelope,National Renewable Energy Laboratory,Luminescent Solar Concentrating Windows with Quantum Dot Coatings for Commercial Buildings,Golden,CO,39.755543,-105.2211,https://www.energy.gov/eere/buildings/downloads/luminescent-solar-concentrating-windows-quantum-dot-coatings-commercial,"UbiQD, LLC manufactures semi-transparent, quantum dot (or colloidal semiconductor nanocrystal) window coatings that, when combined with solar cells in the window frame, capture a fraction of the incident sunlight for electricity while retaining the functionality of the window. National Renewable Energy Laboratory is testing UbiQD?s prototypes to simulate different weather and sunlight conditions, allowing measurements of their performance, durability, and stability.",Small Business Vouchers Pilot,Active
Commercial Buildings Integration,R&D - Building Energy Modeling,Pacific Northwest National Laboratory,OpenStudio,Richland,WA,46.285691,-119.284462,http://energy.gov/eere/buildings/downloads/openstudio-0,OpenStudio? is an open-source software-development kit (SDK) that supports the rapid development of applications that use EnergyPlus for advanced energy analysis and/or Radiance for lighting analysis. The OpenStudio graphical application demonstrates this capability and is usable as an energy modeling workflow. Lawrence Berkeley National Laboratory is developing OpenStudio versions of DOE?s Commercial Prototype Buildings for use in large scale analysis.,Lab Award,Active
Commercial Buildings Integration,Energy Data & Design/Decision Tools,Lawrence Berkeley National Laboratory,AIA 2030 Commitment Portal,Berkeley,CA,37.871593,-122.272747,https://energy.gov/eere/buildings/downloads/aia-2030-commitment-portal,,Lab Award,Active
Emerging Technologies,,National Renewable Energy Laboratory,CEMAC Supply Chain and Market Analysis of Refrigerants,Golden,CO,39.755543,-105.2211,https://energy.gov/eere/buildings/downloads/cemac-supply-chain-and-market-analysis-refrigerants,The goal of this project is to help BTO gain understanding of the manufacturing cost and value-add along the supply chain of energy efficiency products and manufacturing location decisions.,Lab Award,Active
Emerging Technologies,,Oak Ridge National Laboratory,CEMAC Supply Chain and Market Analysis of Refrigerants,Oak Ridge,TN,36.010356,-84.269645,https://energy.gov/eere/buildings/downloads/cemac-supply-chain-and-market-analysis-refrigerants,The goal of this project is to help BTO gain understanding of the manufacturing cost and value-add along the supply chain of energy efficiency products and manufacturing location decisions.,Lab Award,Active
Emerging Technologies,R&D - Advanced Lighting,SC Solutions Inc.,Radiation-Assisted MOCVD Heating for Improved Within-Wafer Temperature Uniformity in LED Manufacturing,Sunnyvale,CA,37.36883,-122.03635,https://energy.gov/eere/ssl/downloads/radiation-assisted-mocvd-heating-improved-within-wafer-temperature-uniformity-led,"SC Solutions, Inc. seeks to demonstrate the feasibility of an innovative control technology for improved within-wafer temperature uniformity in the metal-organic chemical vapor deposition (MOCVD) process that is most commonly used to produce commercial multi-quantum-well (MQW) LEDs.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Advanced Lighting,"Lumisyn, LLC",High Performance Nanocrystals in Silicones,Rochester,NY,43.16103,-77.610922,https://energy.gov/eere/ssl/downloads/high-performance-nanocrystals-silicones,"Lumisyn, LLC will seek to form unique nanocrystal-based silicone films with high quantum efficiencies and low optical scattering losses that will maintain those critical properties under LED operation and with optically dense films.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Sensors & Controls,Argonne National Laboratory,Low Cost Submetering,Argonne,IL,41.715444,-87.983456,https://energy.gov/eere/buildings/downloads/low-cost-submetering,"Argonne National Laboratory (ANL) seeks to minimize the net cost of building submetering by developing novel hardware and software solutions across the value chain, from design to installation, that can be readily manufactured in high volumes for commercialization. Researchers will also utilize user feedback to identify barriers to the technology?s wider diffusion in the marketplace ? and actively work to reduce those barriers, whether they relate to the customer discovery process, defining the value proposition, or assuring customers of the product?s performance and safety.",Lab Award,Active
Emerging Technologies,R&D - Sensors & Controls,Pacific Northwest National Laboratory,Advancements in Building Controls for Energy Efficiency: Adaptive Control,Richland,WA,46.285691,-119.284462,https://energy.gov/eere/buildings/downloads/advancements-building-controls-energy-efficiency-adaptive-control,"Seeks to develop, prototype, test and facilitate the adoption of advanced adaptive building controls that will allow commercial building air distribution management systems to automatically respond to variable operating conditions like outdoor temperature changes or sudden equipment performance degradations.",Lab Award,Active
