CID,Award_Type,FOA_Name,FOA_NodeID,Fiscal_Year_Awarded,Project_Title,Awardee,Recipient_Type,Program_Area,Subprogram_Node,MHK_Strategy_Challenge,MHK_Resource_Type,State,Region,Division,DOE_Funding_Amount,Project_Description,Status,Principal_Investigator,Technology_Area,Congressional_District,Project_Page
DE-EE0002673,Competitive Funding Opportunity Announcement,Recovery Act:  Hydroelectric Facility Modernization FOA,/node/778161,2009,Installation of a Low-Flow Unit at the Abiquiu Hydroelectric Facility,Los Alamos County,State/Local/Tribal Government,New Hydro Development,/node/778156,,,NM,,,"$4,558,344 ","The County of Los Alamos Department of Public Utilities (DPU) owns and operates the Abiquiu Hydroelectric Plant located in Rio Arriba County, New Mexico. DPU constructed a powerhouse addition and installed a new 3 megawatt (MW) low-flow turbine generator to the existing hydroelectric plant. The project increased total plant power generation by 34% from 13.8 MW to 16.9 MW. The addition of this equipment allows for year-round generation of power during the Rio Chama low-flow winter season, as well as increased power generation throughout the remainder of the year. The project is one aspect of Los Alamos County's commitment to sustainable public utility systems (electric, water, gas, and wastewater) through its Los Alamos Green utilities initiative and resource conservation programs.",Completed,,Hydropower,NM-5,/node/3447422
02.01.03.,Annual Operating Plan,FY 2016 AOP,,2016,Instrumentation Community Development and Engagement - Defining Gaps and Technology Pathways,National Renewable Energy Laboratory,Laboratory,MHK System Design and Validation,,"Difficult Engineering, Harsh Environment",Crosscutting,CO,Mountain,West,"$607,728 ","In 2015, the National Renewable Energy Laboratory (NREL) developed a dynamic, collaborative marine and hydrokinetic (MHK) database to help share information on different sensors and instruments relevant to laboratory and field testing of MHK systems, as well as to facilitate discussion and communication on measurement and testing among the MHK community. The Instrumentation and Sensor Database is designed to help users identify and select instruments and sensors that best satisfy measurement needs based on test objectives and associated measurement requirements. This project will also focus on developing features that increase the MHK Data Repository’s use and planning a workshop to ascertain the current state of the art in MHK measurement methodology and technology and to identify gaps. ",Active,"Driscoll, Rick",MHK,CO-7,/node/2730057
,Annual Operating Plan,,,2018,Instrumentation Guidance and Open Source Processing Tools for Marine and Hydrokinetic Laboratory and Field-Scale Testing,National Renewable Energy Laboratory,Laboratory,MHK Environmental Monitoring Instrumentation Research and Development,,,,CO,Mountain,West,"$1,224,000 ","This work aims to accelerate the development, acceptance, and deployment of marine and hydrokinetic (MHK) technology. It will leverage prior investments by the U.S. Department of Energy (DOE), the offshore engineering and measurement community, the MHK sector, and the Navy, as well as, verify solutions in upcoming DOE-funded testing campaigns. It will empower effective and efficient marine renewable energy (MRE) research and development (R&D) by codifying relevant best-practice knowledge and experience, leverage prior instrumentation development efforts, and fill gaps to decrease the timelines and costs for commercially viable technology. This work will help achieve these goals by providing the MRE community (technology developers, site developers, investors, regulators, and the R&D community) with: 1) Standardized, open-source, turnkey extensible data reduction, condition, processing and quality assurance (QA) software solutions for both laboratory and field testing that are discoverable and accessible and that have been verified by relevant experts; 2) An inventory of existing small- and large-scale load measurement systems and small-scale data acquisition systems (DAS) on the MHK Instrumentation and Sensors Community of Practice to facilitate discovery when commercial off-the-shell (COTS) solutions exist; 3) Small-scale (laboratory) data acquisition systems (DAS) and load measurement solutions that fill gaps where commercial systems do not exist; 4) Published guidelines based on established methods and field experience for selection, installation, and use of mechanical and PTO load measurement sensors for larger scale component and field testing, as well as methods and techniques for measurement and transmission of digital and analog signals in high EMI environments.",Active,,MHK,,/node/4036236
DE-EE0007349,Competitive Funding Opportunity Announcement,FY 2015 Next-Generation Marine Energy Systems—Durability and Survivability,/node/1052046,2015,"Integrated Development and Comprehensive Installation, Operations, and Maintenance Testing at Roosevelt Island Tidal Energy Project of a KHPS TriFrame Mount",Verdant Power,Industry,MHK System Design and Validation,/node/778176,"Difficult Engineering, Harsh Environment",Current,NY,Middle Atlantic,Northeast,"$398,218 ","Verdant Power’s Kinetic Hydropower System (KHPS) is an axial-flow, current-capturing turbine system. Through this project, Verdant will simultaneously design a suitable mounting system for the KHPS and will establish an accompanying operational process for cost-effective installation, maintenance, and retrieval of the KHPS. Verdant and its partners will build upon prior work to complete the nominal solution of a TriFrame (TF) that optimizes turbine spacing and structural requirements to allow for cost-effective installation, operations, and maintenance (IO&M), including retrieving three turbines with one on-water operation. Completing (and proving through testing) the final TF design and accompanying IO&M procedures will be a major step toward providing a practical, commercial KHPS system. The design process—along with economic tradeoff studies of single turbine versus TF deployment concepts—will be useful to other marine and hydrokinetic (MHK) developers. ",Active,,MHK,,/node/3184332
02.02.02.,Annual Operating Plan,,,2016,Integrated Hydropower Storage Systems,Argonne National Laboratory,Laboratory,PSH and Hydro Grid Reliability,,,,IL,,,"$630,000 ","This project’s goal is to investigate and demonstrate the potential for run-of-river (ROR) hydroelectric power plants—hydro plants with little or no water storage—to participate in ancillary service markets. Ancillary services allow the electric grid to facilitate and support the continuous flow of electricity so that supply meets demand. The project aims to emulate the behavior of a large hydropower plant by combining and cohesively controlling multiple, small ROR hydroelectric power plants with energy storage systems. The project team will work with a power electronics original equipment manufacturer on an emerging technology to maximize ROR hydroelectric power plant operation, which leads to flexible grid services. This project is a collaboration between three national laboratories—Idaho National Laboratory (INL), Argonne National Laboratory, and the National Renewable Energy Laboratory.",Active,"Koritarov, Vladimir",Hydropower,IL-5,/node/3192844
02.02.02.,Annual Operating Plan,,,2016,Integrated Hydropower Storage Systems,Idaho National Laboratory,Laboratory,PSH and Hydro Grid Reliability,,,,ID,,,"$1,037,050 ","This project’s goal is to investigate and demonstrate the potential for run-of-river (ROR) hydroelectric power plants—hydro plants with little or no water storage—to participate in ancillary service markets. Ancillary services allow the electric grid to facilitate and support the continuous flow of electricity so that supply meets demand. The project aims to emulate the behavior of a large hydropower plant by combining and cohesively controlling multiple, small ROR hydroelectric power plants with energy storage systems. The project team will work with a power electronics original equipment manufacturer on an emerging technology to maximize ROR hydroelectric power plant operation, which leads to flexible grid services. This project is a collaboration between three national laboratories—Idaho National Laboratory (INL), Argonne National Laboratory, and the National Renewable Energy Laboratory.",Active,"Wright, Christopher",Hydropower,ID-5,/node/3193586
02.02.02.,Annual Operating Plan,,,2016,Integrated Hydropower Storage Systems,National Renewable Energy Laboratory,Laboratory,PSH and Hydro Grid Reliability,,,,CO,Mountain,West,"$416,582 ","This project’s goal is to investigate and demonstrate the potential for run-of-river (ROR) hydroelectric power plants—hydro plants with little or no water storage—to participate in ancillary service markets. Ancillary services allow the electric grid to facilitate and support the continuous flow of electricity so that supply meets demand. The project aims to emulate the behavior of a large hydropower plant by combining and cohesively controlling multiple, small ROR hydroelectric power plants with energy storage systems. The project team will work with a power electronics original equipment manufacturer on an emerging technology to maximize ROR hydroelectric power plant operation, which leads to flexible grid services. This project is a collaboration between three national laboratories—Idaho National Laboratory (INL), Argonne National Laboratory, and the National Renewable Energy Laboratory.",Active,"Gevorgian, Vahan",Hydropower,CO-7,/node/3193642
02.01.06.,Annual Operating Plan,FY 2016 AOP,,2016,Intelligent Adaptable Monitoring Package for Marine Renewable Energy Projects,Pacific Northwest National Laboratory,Laboratory,MHK Environmental Monitoring Instrumentation Research and Development,,Barriers to Testing,Crosscutting,WA,Pacific,West,"$70,000 ","Pacific Northwest National Laboratory will support a technical evaluation of the Intelligent Adaptable Monitoring Package (iAMP) instrumentation package developed by the University of Washington. The evaluation will take place at Pacific Northwest National Laboratory's Marine Sciences Laboratory, where the instrumentation package will be deployed for an extended endurance test. During the endurance test, the performance will be evaluated using controlled, synthetic targets (drifting instrumented buoys) and naturally occurring marine biota.",Active,"Matzner, Shari",MHK,,/node/3459809
DE-EE0006384,Competitive Funding Opportunity Announcement,FY 2013 MHK Environmental Effects Assessment and Monitoring,,2013,"Interactions of Aquatic Animals with the ORPC OCGen in Cobscook Bay, Maine",University of Maine,University,MHK Environmental Monitoring Instrumentation Research and Development,/node/778181,Barriers to Testing,Crosscutting,ME,New England,Northeast,"$365,543 ","The University of Maine will use data on the interactions of fish with Ocean Renewable Power Company's TidGen tidal turbine to predict the probability of fish encountering MHK devices. Building on data gathered since 2010 which established baseline patterns of fish distribution at the turbine's location. This project will provide post-deployment data for comparison; improve techniques for distinguishing between fish species using undersea acoustic sensors; and implement a probability-of-encounter model. This work will aid assessment of possible effects of MHK devices on species or groups of species, and improve understanding of potential longer-term effects of a hydrokinetic device on local fish populations.",Completed,,MHK,,/node/3447386
02.01.07.,Annual Operating Plan,FY 2015 AOP,,2015,International Environmental Data Sharing Initiative,Pacific Northwest National Laboratory,Laboratory,MHK Environmental Monitoring Instrumentation Research and Development,,Barriers to Testing,Crosscutting,WA,Pacific,West,"$3,075,025 ","To help organize and disseminate information about how marine and hydrokinetic (MHK) technologies may interact with the marine environment, the U.S Department of Energy’s Water Power Technologies Office (WPTO) directed Pacific Northwest National Laboratory to create the Tethys Knowledge Base and lead the International Energy Agency Ocean Energy Systems Annex IV initiative. As the primary outreach arm for environmental effects work for WPTO, Tethys and Annex IV encompass the ability to gather, analyze, disseminate, and archive current monitoring and research efforts, build on lessons learned, and bring together practitioners from all aspects of marine energy development. ",Active,"Sather, Nicole ",MHK,,/node/2945633
DE-FG36-09GO19009 ,Competitive Funding Opportunity Announcement,FY 2008 Advanced Water Power Projects FOA,/node/315649,2009,International Standards Development for Marine and Hydrokinetic Renewable Energy,Science Applications International Corporation,Industry,MHK System Design and Validation,/node/778181,Harsh Environment,Crosscutting,CA,Pacific,West,"$593,000 ","Science Applications International Corporation (SAIC) worked with a group of industry stakeholders to develop a set of relevant industry standards, as well as a consistent method and process for developing standards for the MHK renewable energy industry. The project used the well-established and proven International Electrotechnical Commission (IEC) development process as a foundation and included qualified U.S. industry technical experts to populate  the standards development working groups. Standardization will enable marine renewable energy devices to become marketable by providing a foundation for certification systems, promoting international trade, and supporting transfer of expertise from traditional energy systems. SAIC convened multiple standards development working groups with participation by key U.S. industry technical experts; supported the international project teams; developed a report on existing IEC standards and processes; and disseminated a semi-annual newsletter to the marine renewable energy community to educate industry members and stakeholders about the processes, progress, and description of these standards.",Completed,,MHK,,/node/3447311
1.2.3.1.2,Annual Operating Plan,,,2012,International Standards Development for Marine and Hydrokinetic Renewable Energy,National Renewable Energy Laboratory,Laboratory,MHK System Design and Validation,,"Difficult Engineering, Harsh Environment",Crosscutting,CO,Mountain,West,"$956,441 ",This funding supports the International Standards Development for Marine and Hydrokinetic Renewable Energy project by Science Applications International Corporation.,Completed,,MHK,,/node/3447311
DE-EE0005414,Competitive Funding Opportunity Announcement,Advanced Hydropower Technology Development FOA,,2011,Iowa Hill Pumped-storage Project Investigations,Sacramento Municipal Utility District,State/Local/Tribal Government,PSH and Hydro Grid Reliability,,,,CA,Pacific,West,"$4,961,138 ","The objectives of the Iowa Hill Pumped-storage Project (Iowa Hill) Investigations are twofold: (1) reduce geotechnical uncertainty and (2) model energy and services value streams under a variety of energy scenarios. Technical uncertainty of the subsurface geotechnical conditions in the locale of the underground facilities planned for Iowa Hill presents challenges for securing project financing and partners that would enable Iowa Hill to move into the final design, procurement and construction phases. The investigation has the following objectives: Identify geotechnical defects in subsurface that may result in delays and costly remedial measures;  Determine depth of weathered zone, landslides, and toppled rock in project area; Develop detailed information through the powerhouse cavern, tunnels, and shafts on minimum in-situ stresses to inform the degree of steel lining or other reinforcing features that may be needed in these areas, if at all; Develop detailed information through the powerhouse cavern, tunnels, and shafts on geologic structures, contacts, and shears that will ultimately help in the design of underground openings; Determine extent of water-bearing structures, such as upper reservoir berms, and evaluate impacts on stability of underlying geological conditions. ",Completed,,Hydropower,CA-5,/node/3564356
,Annual Operating Plan,,,2018,Irrigation Modernization,Idaho National Laboratory,Laboratory,Hydro Optimization/Environmental Research and Analysis,,,,ID,,,"$250,000 ","Idaho National Laboratory and Pacific Northwest National Laboratory are partnering to evaluate hydropower's potential to enable and enhance the modernization of U.S. agricultural irrigation systems. This scoping study will specifically determine if there are key hydropower and irrigation research investments that could unlock greater economic, energy, and water security potential. Irrigation modernization is a collaborative, systematic process for identifying and effectuating the agricultural, environmental, economic, social, and energy benefits that can be generated by installing irrigation district and on-farm technologies that reduce water loss while enabling in-conduit hydropower and minimize energy use while maximizing habitat restoration potential. As the definition implies, irrigation modernization (and agricultural practices more broadly) is at the nexus of water, energy, food production, environmental stewardship, and rural economic resilience.",Active,,Hydropower,,/node/3996750
DE-EE0005426,Competitive Funding Opportunity Announcement,Advanced Hydropower Technology Development FOA,,2011,"Development of New, Low-Head Hydropower Turbine - Modeling & Laboratory Test",Hydro Green Energy,Industry,New Hydro Development,/node/778156,,,IL,,,"$300,000 ","Hydro Green Energy designed, built, tested, and validated a scale model of a stackable, modular low-head hydropower turbine. Based on the success of lab test results, a full-scale model could be used for low-head water projects at existing locks and dams that aren't currently equipped to produce hydropower.",Completed,,Hydropower,IL-5,/node/3486464
02.02.02.,Annual Operating Plan,,,2016,Littoral Power Systems FOA,National Renewable Energy Laboratory,Laboratory,New Hydro Development,,,,CO,Mountain,West,"$100,000 ","This funding supports the A Cost-Disruptive, Low-Impact, Modular Form Factor Low-Head Hydropower System project.",Active,"LiVecchi, Al",Hydropower,CO-5,/node/3699340
DE-EE0007824,Competitive Funding Opportunity Announcement,FY 2016 Marine and Hydrokinetic Energy Conversion and Environmental Monitoring Technology Advancement,,2016,Long-Range Target Detection and Classification System for Environmental Monitoring at MHK Sites,BioSonics Inc.,Industry,MHK Environmental Monitoring Instrumentation Research and Development,,Barriers to Testing,Crosscutting,WA,Pacific,West,"$750,000 ","The project objective is to deliver a reliable, cost effective environmental monitoring system to the Marine and Hydrokinetic (MHK) industry, based on proven scientific measurement principles that can automatically detect targets at long range (200-300 m) and provide a general classification.  Baseline system enhancements are targeted to achieve the desired outcomes of improvement in technical performance and reduction of costs and environmental effects.",Active,,MHK,,/node/3508414
,Annual Operating Plan,,,2014,"Low-Head, Short-Intake Flow Measurement Research",Pacific Northwest National Laboratory,Laboratory,Hydro Optimization/Environmental Research and Analysis,,,,WA,Pacific,West,"$499,434 ","Through this project, Pacific Northwest National Laboratory is undertaking research, development, and demonstration in hydropower flow measurement to enable U.S. hydropower assets to produce more energy from available water. Accurate and cost-effective flow measurement in short converging turbine intakes is a long-standing technical challenge not yet overcome by industry or research communities. To meet this challenge, innovations in flow sensor systems technology, simulation, and deployment will be required for short converging turbine intakes that are typical of Kaplan turbine units. Demonstration of a successful flow measurement system will provide better opportunities for industry to optimize powerhouse operations on a unit-by-unit basis and enable more efficient use of available water.",Active,,Hydropower,,/node/3499352
DE-EE0007249,Competitive Funding Opportunity Announcement,FY 2015 FOA: Research and Development of Innovative Technologies for Low-Impact Hydropower Development,/node/1044651,2015,"Magnetic Gears: The Key to Robust, Cost-Effective Hydropower Drivetrains",Emrgy Hydro,Industry,Hydro Optimization/Environmental Research and Analysis,,,,GA,,,"$910,716 ","Emrgy Hydro will advance the research and development of the magnetic gear specifically for implementation and market readiness in low-impact hydropower. The key objectives for this project are to: (1) Determine the feasibility of a magnetic gearbox-based hydropower drivetrain and the extent to which it contributes to lowering the cost, improving the performance, and increasing the environmental compatibility of the overall turbine system; (2) Develop a robust design of a magnetic gear at an appropriate scale for low-impact hydropower environments; (3) Develop a Rough Order of Magnitude cost of production for the magnetic gearbox, targeting <$0.80/watt capital costs up to 100-kW scale; and (4) Build and demonstrate a functional magnetic gearbox-based hydropower drivetrain in a relative environment, achieving technology readiness level 7. Ranging from 1 (basic principles observed) to 9 (total system used successfully in project operations), a technology readiness level indicates a technology's level of maturity.",Active,,Hydropower,,/node/3883256
DE-EE0000298,Congressionally Directed Project,FY 2009 CDP,,2009,Maine Tidal Power Initiative,University of Maine,University,MHK System Design and Validation,/node/778181,"Difficult Engineering, Harsh Environment, Barriers to Testing",Current,ME,New England,Northeast,"$951,500 ","The University of Maine has established the Maine Tidal Power Initiative to develop resource and environmental protocols while industry partners deploy   a Tidal In-Stream Energy Conversion device. These protocols can then be used throughout the United States to evaluate tidal energy resources and better understand the potential impact of tidal energy development on the environment. The project includes: (1) a resource assessment; (2) development of   the initial array design parameters using scale model tests; (3) baseline environmental studies and monitoring; (4) in-situ measurement and monitoring of TidGen developed by Ocean Renewable Power Company; and (5) a study of the human dimensions of this work. Site-specific work is focused on the Cobscook Bay/Western Passage area near Eastport, Maine, which is potentially the most viable commercial tidal energy site in the United States; it became the first grid-connected, commercial-scale tidal energy site in the country with Ocean Renewable Power Company's TidGen deployment in 2012. The protocols and methods developed at this site have been used to perform initial scoping reviews of smaller tidal sites in Taunton Bay, Castine, and Wiscasset, Maine. Upon successful completion, the project is expected to advance both research and education. The research component, linked with   the testing of Ocean Renewable Power Company's TidGen in the Cobscook Bay/Western Passage site, will result in baseline resource and environmental data for the site, as well as the initial evaluation of the suitability of the approach for at least two other tidal development sites in Maine. The educational component involves graduate and undergraduate students at the University of Maine and the Maine Maritime Academy, providing training for a new generation of skilled workforce to support future ocean renewable energy industries.",Completed,,MHK,,/node/3447338
DE-EE0000298 ,Congressionally Directed Project,FY 2010 CDP,,2010,Maine Tidal Power Initiative,University of Maine,University,MHK System Design and Validation,/node/778181,"Difficult Engineering, Harsh Environment, Barriers to Testing",Current,ME,New England,Northeast,"$1,000,000 ","The University of Maine has established the Maine Tidal Power Initiative to develop resource and environmental protocols while industry partners deploy   a Tidal In-Stream Energy Conversion device. These protocols can then be used throughout the United States to evaluate tidal energy resources and better understand the potential impact of tidal energy development on the environment. The project includes: (1) a resource assessment; (2) development of   the initial array design parameters using scale model tests; (3) baseline environmental studies and monitoring; (4) in-situ measurement and monitoring of TidGen developed by Ocean Renewable Power Company; and (5) a study of the human dimensions of this work. Site-specific work is focused on the Cobscook Bay/Western Passage area near Eastport, Maine, which is potentially the most viable commercial tidal energy site in the United States; it became the first grid-connected, commercial-scale tidal energy site in the country with Ocean Renewable Power Company's TidGen deployment in 2012. The protocols and methods developed at this site have been used to perform initial scoping reviews of smaller tidal sites in Taunton Bay, Castine, and Wiscasset, Maine. Upon successful completion, the project is expected to advance both research and education. The research component, linked with   the testing of Ocean Renewable Power Company's TidGen in the Cobscook Bay/Western Passage site, will result in baseline resource and environmental data for the site, as well as the initial evaluation of the suitability of the approach for at least two other tidal development sites in Maine. The educational component involves graduate and undergraduate students at the University of Maine and the Maine Maritime Academy, providing training for a new generation of skilled workforce to support future ocean renewable energy industries.",Completed,,MHK,,/node/3447338
4.2.1,Annual Operating Plan,,,2013,Marine and Hydrokinetic Atlas,National Renewable Energy Laboratory,Laboratory,MHK Resource Characterization,,,,CO,Mountain,West,"$100,000 ","The National Renewable Energy Laboratory (NREL) expanded its Marine and Hydrokinetic (MHK) Resource Atlas by incorporating ocean current, tidal, river in-stream, and hydropower assessments&mdash;making it the preeminent website for users interested in assessing broad water power resources. The objective of this project was to merge the ocean current and tidal energy resource estimates produced by Georgia Tech, as well as the river in-stream assessment produced by NREL and Electric Power Research Institute, into NREL's web-based, geographic information system, marine renewable energy resource atlas and to provide a gateway to Oak Ridge National Laboratory's hydropower assessment.",Completed,,MHK,,/node/3792099
1.3.0.401,Annual Operating Plan,FY 2017 AOP,,2017,Marine and Hydrokinetic Performance Measurement and Instrumentation,National Renewable Energy Laboratory,Laboratory,MHK System Design and Validation,,,,CO,Mountain,West,"$427,579 ","The National Renewable Energy Laboratory (NREL) is developing technology to provide high-quality measurements of marine energy resources and device performance. In support of this effort, NREL hosts workshops to bring together marine energy technology experts to disseminate technical information to the marine energy community. NREL's primary goal is to identify and characterize impacts and prioritize gaps in marine energy measurement technologies, and to define the technology pathways to filling those gaps based on feedback from the workshops.",Active,,MHK,,/node/3792036
DE-FC36-08GO18177 ,Competitive Funding Opportunity Announcement,FY 2008 Advanced Water Power Projects FOA,/node/315649,2008,Marine and Hydrokinetic Renewable Energy Technologies: Potential Navigational Impacts and Mitigation Measures,"PCCI, Inc.",Industry,MHK Environmental Monitoring Instrumentation Research and Development,/node/778181,Barriers to Testing,Crosscutting,VA,South Atlantic,South,"$165,290 ","PCCI completed a technical manual to assist developers and regulators in obtaining the information needed for the permit application process relating to navigational impacts and mitigation measures. A key issue when siting renewable energy technologies in navigable waters is the impact of a proposed facility on traditional waterway uses. PCCI and its team coordinated with the U.S. Coast Guard to advance the industry's knowledge of potential navigational impacts and provide information to assist project developers to avoid or mitigate those impacts. The PCCI team also coordinated with two other project teams funded by DOE to develop a variety of tools and resources for use by stakeholders. The project and technical manual accelerate the deployment of MHK renewable energy installations by providing developers, regulators, and industry stakeholders with information and coordination guidance on navigational impacts, mitigation, and related permitting requirements.",Completed,,MHK,,/node/3539660
DE-EE0003640,Competitive Funding Opportunity Announcement,FY 2010 MHK Technology Readiness Advancement Initiative FOA,,2010,Marine High-Voltage Power Conditioning and Transmission System with Integrated Energy Storage,"Princeton Power Systems, Inc.",Industry,MHK System Design and Validation,/node/778176,"Difficult Engineering, Harsh Environment",Crosscutting,NJ,Middle Atlantic,Northeast,"$599,799 ","Princeton Power Systems demonstrated its Marine Power Conditioner with Storage, which combines three innovative technologies, including a high-voltage direct-current power terminal, ultra capacitor energy storage, and circuit architecture that allows for sophisticated sharing, control, and communications among three power terminals. Most MHK energy sources are variable and physically distant from load centers, requiring power conditioning systems that both buffer the power generation and transmit it to shore at high voltage. Previously available energy storage and transmission systems were expensive and poorly suited for these applications, and new technologies could provide substantial benefits. Tests have resulted in achieving a production cost under $0.50 per watt for a marine-rugged 500-kilowatt system. The results of this project have improved integration of wave/tidal  power generators with load needs, leading to an increase in the number of wave/tidal power installations and, subsequently, a greater percentage of energy generated from non-polluting, renewable energy sources. In addition, the project helped to establish the United States as a global technological leader in advanced marine power conversion systems.",Completed,,MHK,,/node/3499208
DE-EE0006385,Competitive Funding Opportunity Announcement,FY 2013 MHK Environmental Effects Assessment and Monitoring,,2013,Marine Mammal Behavioral Response to Tidal Turbine Sound,University of Washington,University,MHK Environmental Monitoring Instrumentation Research and Development,/node/778181,Barriers to Testing,Current,WA,Pacific,West,"$399,572 ","The University of Washington will characterize the behavioral responses of killer whales, harbor porpoises, and fin-footed marine mammals (such as seals, sea lions, and walruses) to simulated sounds that would be produced by tidal turbines. This project will reproduce temporal and spatial variation in sound produced by tidal turbines deployed in Puget Sound, as well as demonstrate the effectiveness of wildlife observation techniques around potential marine renewable energy projects.",Active,,MHK,,/node/3184269
2.3.0.601,Annual Operating Plan,,,2017,Market Analysis of Shell Energy North America's Hydro Battery System,Pacific Northwest National Laboratory,Laboratory,PSH and Grid Reliability,,,,WA,Pacific,West,"$180,000 ",This funding supports the Hydro Battery Systems Catalog Development project.,Active,,Hydropower,,/node/3840730
DE-EE0006388,Competitive Funding Opportunity Announcement,FY 2013 MHK Environmental Effects Assessment and Monitoring,,2013,Measuring Changes in Ambient Noise Levels from the Installation and Operation of a Wave Energy Converter in the Coastal Ocean,"Oregon State University, Hatfield Marine Sciences Center",University,MHK Environmental Monitoring Instrumentation Research and Development,/node/778181,Barriers to Testing,Wave,OR,Pacific,West,"$84,403 ","Oregon State University developed methods and a framework for assessing the potential impacts of acoustic emissions from wave energy converters (WECs) located in high energy, nearshore environments. This project was intended to develop a long-term noise budget for the area that would serve as a baseline for future assessments of noise impacts related to the construction and operation of WECs in the region.",Completed,,MHK,OR-4,/node/3746817
02.01.02.,Annual Operating Plan,FY 2016 AOP,,2016,Marine and Hydrokinetic Levelized Cost of Energy Analysis and Data Management,National Renewable Energy Laboratory,Laboratory,MHK System Design and Validation,,Difficult Engineering,Crosscutting,CO,Mountain,West,"$1,509,659 ",The National Renewable Energy Laboratory (NREL) will continue to ensure that the latest methods and guidance in marine and hydrokinetic (MHK) levelized cost of energy (LCOE) are articulated to awardees and other U.S. MHK players. This effort is intended to maximize the probability that consistent data will be collected that is useful across the industry. Having consistent metrics for measurement and reporting is essential to the success of technology development programs. NREL will use input from industry partners to determine the most appropriate guidance—including how LCOE should be calculated. This project will also support the analysis and refinement of LCOE data received from U.S. Department of Energy (DOE) awards to ensure the appropriateness of the methodology and underlying assumptions. ,Active,"Driscoll, Rick",MHK,,/node/2631312
1.2.4,Annual Operating Plan,,,2010,Marine and Hydrokinetic Lifecycle Cost Analysis,National Renewable Energy Laboratory,Laboratory,MHK System Design and Validation,,Difficult Engineering,Crosscutting,CO,Mountain,West,"$287,176 ",This funding supports the Reference Model Project.,Completed,,MHK,,/node/3975093
02.01.07.,Annual Operating Plan,FY 2015 AOP,,2015,Marine and Hydrokinetic Regulator Training,National Renewable Energy Laboratory,Laboratory,MHK Environmental Monitoring Instrumentation Research and Development,,Barriers to Testing,Crosscutting,CO,Mountain,West,"$240,000 ","To address the limited regulatory experience with and consensus around marine and hydrokinetic (MHK) energy technologies, the U.S. Department of Energy (DOE) initiated an effort to provide state and federal regulatory personnel with the opportunity to become more familiar with MHK technologies and the science around important environmental effects of MHK systems. DOE and the National Renewable Energy Laboratory (NREL) jointly hosted two workshops (one in 2014 and one in 2015) to discuss the level of appropriate MHK impact risk mitigation and remaining key information gaps. NREL summarized the outcomes and findings of these workshops, working with workshop participants and facilitators to develop and publish a technical report regulators can use as a guide for regulating near-term MHK deployment. ",Completed,"Baring-Gould, Ian",MHK,,/node/3193467
,Annual Operating Plan,,,2018,"Maturation of Nontoxic, Durable, Economical Coatings for Control of Invasive Mussels at Hydropower Facilities",Pacific Northwest National Laboratory,Laboratory,Hydro Optimization/Environmental Research and Analysis,,,,WA,Pacific,West,"$100,000 ","Zebra and quagga mussels are invasive species first found in the Great Lakes in the 1980s. The mussels have spread to a majority of the large rivers of the United States and impact many of the hydropower projects in those watersheds. Left uncontrolled, fouling by zebra and/or quagga mussels may disrupt operation, impede water flow significantly, and diminish the power output of hydroelectric dams. Existing commercial anti-fouling paints that are used as coatings are inappropriate for hydropower applications either because they are toxic and leak poisons into the water or have proven largely ineffective against preventing mussel colonization. Pacific Northwest National Laboratory (PNNL) is working to mature and demonstrate durable, economical, and nontoxic coatings that will prevent invasive mussels from growing on hydropower structures. A novel, foul-release coating recently developed at PNNL, Superhydrophobic Lubricant Infused Composite (SLIC) technology, will be adapted to provide the durability necessary for over five years of protection in the freshwater environment. The chemical and physical properties of this &lsquo;slippery,&lsquo; foul-release surface coating prevents organisms from attaching and will be optimized for the fresh water conditions common to hydropower operations. This coating is based on a substance found in nature that carnivorous pitcher plants excrete to trap insect prey. The environmentally friendly anti-biofouling coatings could be applied to many designs or scales &ndash; including irrigation systems and canals&ndash; and could be applied to new hydropower projects and existing facilities.",Active,,Hydropower,,/node/3996771
02.01.02.,Annual Operating Plan,FY 2015 AOP,,2015,Wave-SPARC (Systematic Process and Analysis for Reaching Commercialization) WEC Technology Development Phase I,National Renewable Energy Laboratory,Laboratory,MHK System Design and Validation,,Difficult Engineering,Wave,CO,Mountain,West,"$2,961,492 ","Appreciating lessons learned from WEC technology developments to date, it has become evident that there is a need for holistic, detailed and to the furthest extent possible, objective technology performance assessment at all stages of development. ",Active,"Weber, Jochem ",MHK,,/node/3459935
02.01.04.,Annual Operating Plan,FY 2016 AOP,,2016,Model Validation and Site Characterization for Early-Deployment MHK Sites and Establishment of Wave Classification Scheme,National Renewable Energy Laboratory,Laboratory,MHK Resource Characterization,,"Difficult Engineering, Harsh Environment",Crosscutting,CO,Mountain,West,"$1,840,000 ","The U.S. marine and hydrokinetic (MHK) industry is poised to deploy a new generation of energy converters, but it lacks the comprehensive resource data needed to engineer the most efficient devices. In particular, there is a shortage of detailed resource data along U.S. coastlines. This project will measure in high detail wave and tidal resources that are critical to designing the next generation of economical and robust MHK devices, as well as arrays of those devices.",Active,"LiVecchi, Al",MHK,,/node/2663570
