Publication Title,Summary,Published By,Publication Year,Technology Area,Publication Type,CMS node
2018 Annual Merit Review Report,"The 2018 U.S. Department of Energy (DOE) Vehicle Technologies Office (VTO) Annual Merit Review Meeting (AMR) was held June 18-21, 2018, in Arlington, VA. The review encompassed all of the work done by VTO: 235 individual activities were reviewed by 247 reviewers. A total of 1,202 individual review responses were received for the VTO technical reviews.
The objective of the meeting was to review the accomplishments and plans for VTO over the previous 12 months, and provide an opportunity for industry, government, and academia to give inputs to DOE on the Office with a structured and formal methodology. The meeting also provided attendees with a forum for interaction and technology information transfer.",Vehicle Technologies Office,2018,Office-wide,Report,http://www.energy.gov/node/3884631
Technology Integration FY2017 Annual Progress Report,"The 2017 Technology Integration Annual Progress Report covers 27 multi-year projects funded by the Vehicle Technologies Office. The report includes information on 20 competitively awarded projects, ranging from training on alternative fuels and vehicles for first responders, to safety training and design for maintenance facilities housing gaseous fuel vehicles, to electric vehicle community partner programs. It also includes seven projects conducted by several of VTO's national laboratory partners, Argonne National Laboratory, Oak Ridge National Laboratory and the National Renewable Energy Laboratory. These projects range from a Technical Assistance project for business, industry, government and individuals, to the EcoCar 3 Student Competition, and the Fuel Economy Information Project.",Vehicle Technologies Office,2018,Technology Integration,Report,http://www.energy.gov/node/3473303
Materials FY2017 Annual Progress Report,"The Materials Technology subprogram supports the Vehicle Technology Office's mission to help consumers and businesses reduce their transportation energy costs while meeting or exceeding vehicle performance expectations. The Propulsion Materials research portfolio seeks to develop higher performance materials that can withstand increasingly extreme environments and address the future properties needs of a variety of high efficiency powertrain types, sizes, fueling concepts, and combustion modes. Advanced Lightweight Materials research enables improvements in fuel economy by providing properties that are equal to or better than traditional materials at a lower weight. Because it takes less energy to accelerate a lighter object, replacing cast iron and traditional steel components with lightweight materials such as high-strength steel, magnesium (Mg), aluminum (Al), and polymer composites can directly reduce a vehicle's fuel consumption. Materials technology activities focus on the following cost and performance targets: (1) enable a 25 percent weight reduction for light-duty vehicles including body, chassis, and interior as compared to a 2012 baseline at no more than a $5/lb-saved increase in cost; and (2) validate a 25 percent improvement in high temperature (300 Degrees Celsius) component strength relative to components made with 2010 baseline cast Al alloys (A319 or A356) for improved efficiency light-duty engines.",Vehicle Technologies Office,2018,Materials,Report,http://www.energy.gov/node/3473291
Energy Efficient Mobility Systems FY2017 Annual Progress Report,"During fiscal year 2017 (FY 2017), the U.S. Department of Energy (DOE) Vehicle Technologies Office (VTO) created the Energy Efficient Mobility Systems (EEMS) Program to understand the range of mobility futures that could result from these disruptive technologies and services, and to create solutions that improve mobility energy productivity, or the value derived from the transportation system per unit of energy consumed. Increases in mobility energy productivity result from improvements in the quality or output of the transportation system, and/or reductions in the energy used for transportation.",Vehicle Technologies Office,2018,Energy Efficient Mobility Systems,Report,http://www.energy.gov/node/3473288
Electrification FY2017 Annual Progress Report,"During fiscal year 2017 (FY 2017), the U.S. Department of Energy (DOE) Vehicle Technologies Office (VTO) funded early stage research & development (R&D) projects that address Batteries and Electrification of the U.S. transportation sector. The VTO Electrification Sub-Program is composed of Electric Drive Technologies, and Grid Integration activities. The Electric Drive Technologies group conducts R&D projects that advance Electric Motors and Power Electronics technologies. The Grid and Charging Infrastructure group conducts R&D projects that advance Grid Modernization and Electric Vehicle Charging technologies. This document presents a brief overview of the Electrification Sub-Program and progress reports for its R&D projects. Each of the progress reports provide a project overview and highlights of the technical results that were accomplished in FY 2017.",Vehicle Technologies Office,2018,Batteries and Electrification,Report,http://www.energy.gov/node/3473276
Batteries FY2017 Annual Progress Report,The Advanced Batteries research and development (R&D) subprogram within the DOE Vehicle Technologies Office (VTO) provides support and guidance for projects focusing on batteries for plug-in electric vehicles.,Vehicle Technologies Office,2018,Batteries and Electrification,Report,http://www.energy.gov/node/3473261
Analysis FY2017 Annual Progress Report,"During fiscal year 2017, the U.S. Department of Energy Vehicle Technologies Office (VTO) funded analysis projects supportive of VTO's goals to pursue early stage research in vehicle and mobility system technologies to reduce petroleum dependence, increase energy reliability and security, improve transportation affordability, and promote economic growth. VTO analysis projects result in a foundation of data, analytical models, and applied analyses that provide insights into critical transportation energy problems and assist in research investment prioritization and portfolio planning.",Vehicle Technologies Office,2018,Analysis,Report,http://www.energy.gov/node/3473258
Advanced Combustion Systems & Fuels FY2017 Annual Progress Report,"The Advanced Combustion Systems and Fuels Program supports VTO's goal and focuses early-stage research and development (R&D) to improve understanding of the combustion processes, fuel properties, and emission control technologies while generating knowledge and insight necessary for industry to develop the next generation of engines.",Vehicle Technologies Office,2018,Advanced Engine and Fuel Technoloies,Report,http://www.energy.gov/node/3473249
"Impacts of Electrification of Light-Duty Vehicles in the United States, 2010 - 2017","This report examines the sales of plug-in electric vehicles (PEVs) in the United States from 2010 to 2017, exploring vehicle sales, electricity consumption, petroleum reduction, and battery production, among other factors. Over 750,000 PEVs have been sold, driving nearly 16 billion miles on electricity, thereby reducing gasoline consumption by 0.1% in 2016 and 600 million gallons cumulatively through 2017, while using over 5 terawatt-hours of electricity. Over 23 gigawatt-hours of battery capacity has been placed in vehicles, and 98% of this is still on the road, assuming typical scrappage rates.",Argonne National Laboratory,2018,Analysis,Report,http://www.energy.gov/node/3434607
Electrification Beyond Light Duty: Class 2b-3 Commercial Vehicles,"The class 2b-3 truck market covers a wide range of commercial truck applications across a half-million vehicle sales annually. This report collected public information and stakeholder input to assess the opportunity for electrification in this market. Although class 2b-3 pickup truck and van bodies are very similar to personal light vehicles, their functional requirements are quite different due to the demands of the commercial market. These demands vary by application and often vary from day to day for a single application. Fleet customers purchase these vehicles to perform a particular job for their business and are concerned about the overall cost of doing that job. Therefore, the vehicles must meet the job requirements cost effectively. Customers also are sensitive to initial cost. Electrification offers the potential to reduce vehicle operating costs and possibly improve vehicle functionality. However, the current market for class 2b-3 electrified trucks is very small, and the trucks are costly. Increased production volumes are key to cost reductions and may be assisted by sharing components with larger or smaller truck classes. Expanding demand is also crucial and stakeholders identified several niche markets with duty cycles that are likely well-suited to electrified class 2b-3 trucks. To expand beyond these niches, class 2b-3 electric solutions must be robust, flexible, and adaptable in order to cover a wide range of vocations, applications, and duty cycles.",Oak Ridge National Laboratory,2018,Analysis,Report,http://www.energy.gov/node/3434604
Fuel Economy Guide: Model year 2018,"The Fuel Economy Guide is published by the U.S. Department of Energy as an aid to consumers considering the purchase of a new vehicle. The Guide lists estimates of miles per gallon (mpg) for each vehicle available for the new model year. These estimates are provided by the U.S. Environmental Protection Agency in compliance with Federal Law. By using this Guide, consumers can estimate the average yearly fuel cost for any vehicle. The Guide is intended to help consumers compare the fuel economy of similarly sized cars, light duty trucks and special purpose vehicles.",Vehicle Technologies Office,2017,Technology Integration,Report,http://www.energy.gov/node/3434601
The Barriers to Acceptance of Plug-in Electric Vehicles: 2017 Update,"Vehicle manufacturers, government agencies, universities, private researchers, and organizations worldwide are pursuing advanced vehicle technologies that aim to reduce the consumption of petroleum in the forms of gasoline and diesel. Plug-in electric vehicles (PEVs) are one such technology. This report, an update to the previous version published in December 2016, details findings from a study in February 2017 of broad American public sentiments toward issues that surround PEVs. This report is supported by the U.S. Department of Energy's Vehicle Technologies Office in alignment with its mission to develop and deploy these technologies to improve energy security, enhance mobility flexibility, reduce transportation costs, and increase environmental sustainability.",National Renewable Energy Laboratory,2017,Analysis,Report,http://www.energy.gov/node/3434598
"Charging Electric Vehicles in Smart Cities: An EVI-Pro Analysis of Columbus, Ohio","With the support of the U.S. Department of Energy's Vehicle Technologies Office, the National Renewable Energy Laboratory (NREL) worked with the City of Columbus, Ohio, to develop a plan for the expansion of the region's network of charging stations to support increased adoption of plug-in electric vehicles (PEVs) in the local market. NREL's Electric Vehicle Infrastructure Projection (EVI-Pro) model was used to generate scenarios of regional charging infrastructure to support consumer PEV adoption. Results indicate that approximately 400 Level 2 plugs at multi-unit dwellings and 350 Level 2 plugs at non-residential locations are required to support Columbus' primary PEV goal of 5,300 PEVs on the road by the end of 2019. This analysis finds that while consumer demand for fast charging is expected to remain low (due to modest anticipated adoption of short-range battery electric vehicles), a minimum level of fast charging coverage across the city is required to ease consumer range anxiety concerns by providing a safety net for unexpected charging events. Sensitivity analyses around some key assumptions have also been performed; of these, consumer preference for PHEV versus BEV and for their electric driving range, ambient conditions, and availability of residential charging at multi-unit dwellings were identified as key determinants of the non-residential PEV charging infrastructure required to support PEV adoption. The results discussed in this report can be leveraged by similar U.S. cities as part of a strategy to accelerate PEV adoption in the light-duty vehicle market.",National Renewable Energy Laboratory,2018,Analysis,Report,http://www.energy.gov/node/3434595
Comparison of Vehicle Choice Models,"Five consumer vehicle choice models that give projections of future sales shares of light-duty vehicles were compared by running each model using the same inputs, where possible, for two scenarios. The five models compared ""LVCFlex, MA3T, LAVE-Trans, ParaChoice, and ADOPT"" have been used in support of the Energy Efficiency and Renewable Energy (EERE) Vehicle Technologies Office in analyses of future light-duty vehicle markets under different assumptions about future vehicle technologies and market conditions. The models give projections of sales shares by powertrain technology. Projections made using common, but not identical, inputs showed qualitative agreement, with the exception of ADOPT. ADOPT estimated somewhat lower advanced vehicle shares, mostly composed of hybrid electric vehicles. Other models projected large shares of multiple advanced vehicle powertrains. Projections of models differed in significant ways, including how different technologies penetrated cars and light trucks. Since the models are constructed differently and take different inputs, not all inputs were identical, but were the same or very similar where possible. Projections by all models were in close agreement only in the first few years. Although the projections from LVCFlex, MA3T, LAVE-Trans, and ParaChoice were in qualitative agreement, there were significant differences in sales shares given by the different models for individual powertrain types, particularly in later years (2030 and later). For example, projected sales shares of conventional spark-ignition vehicles in 2030 for a given scenario ranged from 35% to 74%. Reasons for such differences are discussed, recognizing that these models were not developed to give quantitatively accurate predictions of future sales shares, but to represent vehicles markets realistically and capture the connections between sales and important influences. Model features were also compared at a high level, and suggestions for further comparison of models are given to enable better understanding of how different features and algorithms used in these models may give different projections.","Argonne National Laboratory, Sandia National Laboratory, National Renewable Energy Laboratory, Oak Ridge National Laboratory",2017,Analysis,Report,http://www.energy.gov/node/3434592
"Historical Analysis of the Transportation Energy Fact of the Week , 1996 - 2017","The Vehicle Technologies Office in the United States Department of Energy hosts a transportation analysis fact of the week on its webpage. As of October 2017, one thousand facts have been published since 1996. Examining the themes of published facts allows one to trace analytical trends determined to be of interest to the public over this time. The most popular themes addressed in the Fact of the Week were vehicle fuel economy, petroleum use and production, vehicle sales, and traveler behavior. Facts on vehicle electrification and advanced combustion technologies have been more popular in the last few years, showing their relevance to the Department of Energy mission.","Oak Ridge National Laboratory, Argonne National Laboratory",2017,Analysis,Report,http://www.energy.gov/node/3434589
Consumer Behavior and the Plug-In Electric Vehicle Purchase Decision Process: A Research Synthesis,"This report synthesizes consumer behavior research as it pertains to the plug-in electric vehicle (PEV) purchase decision process. The purpose is to clarify what is known about the vital role consumers play in the U.S. PEV market as it matures to become less policy-reliant and more representative of the U.S., both spatially and demographically. A more representative PEV market will: help OEMs recoup more of their R&D investments in PEVs; help American consumers access the economic and performance benefits of PEVs; and help the U.S. become more energy independent while improving air quality-related public health and reducing greenhouse gas emissions.",Lawrence Berkeley National Laboratory,2018,Analysis,Report,http://www.energy.gov/node/3434586
Transportation Electrification Beyond Light Duty: Technology and Market Assessment,"Commercial fleets form the backbone of the nation's economy, getting people and the things they need to the places they need to go and performing services necessary to keep public and private physical infrastructure in working order. Commercial fleets include a wide range of vehicle and equipment types, typical uses, and sizes, and involve millions of on-road and offroad vehicles. This diversity means there is no single solution to the challenges these vehicles pose for reducing petroleum dependence, impact on air quality, and emission of greenhouse gases. This document focuses on electrification of government, commercial, and industrial fleets. These fleets have been divided into three market segments based on equipment use: service fleets, goods movement, and people movement. In particular, it addresses highway vehicles not used for personal transport; non-highway modes, including air, rail, and water; and non-road equipment used directly or in support of these uses.",Oak Ridge National Laboratory,2017,Analysis,Report,http://www.energy.gov/node/3434583
An Evaluation of the Potential for Shifting of Freight from Truck to Rail and Its Impacts on Energy Use and GHG Emissions,"This report summarizes our evaluation of the potential energy-use and GHG-emissions reduction achieved by shifting freight from truck to rail under a most-likely scenario. A sensitivity analysis is also included. The sensitivity analysis shows changes in energy use and GHG emissions when key parameters are varied. The major contribution and distinction from previous studies is that this study considers the rail level of service (LOS) and commodity movements at the origin-destination (O-D) level. In addition, this study considers the fragility and time sensitivity of each commodity type.",Argonne National Laboratory,2017,Analysis,Report,http://www.energy.gov/node/3434577
Vehicle Technologies 2016 Market Report,"This is the seventh edition of this report, which details the major trends in U.S. light-duty vehicle and medium/heavy truck markets. This report is supported by the U.S. Department of Energy s (DOE) Vehicle Technologies Office (VTO), and, in accord with its mission, pays special attention to the progress of high-efficiency and alternative-fuel technologies. After opening with a discussion of energy and economics, this report features a section each on the light-duty vehicle and heavy/medium truck markets, and concluding with a section each on technology and policy. The first section on Energy and Economics discusses the role of transportation energy and vehicle markets on a national (and even international) scale. For example, Figures 12 through 14 discuss the connections between global oil prices and U.S. GDP, and Figures 21 and 22 show U.S. employment in the automotive sector. The following section examines Light-Duty Vehicle use, markets, manufacture, and supply chains. Figures 27 through 69 offer snapshots of major light-duty vehicle brands in the United States and Figures 73 through 85 examine the performance and efficiency characteristics of vehicles sold. The discussion of Medium and Heavy Trucks offers information on truck sales (Figures 94 through 98) and fuel use (Figures 101through 104). The Technology section offers information on alternative fuel vehicles and infrastructure (Figures 109 through 123), and the Policy section concludes with information on recent, current, and near-future Federal policies like the Corporate Average Fuel Economy standard (Figures 135 through 142). In total, the information contained in this report is intended to communicate a fairly complete understanding of U.S. highway transportation energy through a series of easily digestible nuggets. Suggestions for future expansion, additional information, or other improvements are most welcome.",Oak Ridge National Laboratory,2017,Analysis,Report,http://www.energy.gov/node/3434574
Modeling plug-in electric vehicle charging demand with BEAM:  the framework for behavior energy autonomy mobility  ,"This report summarizes the BEAM modeling framework (Behavior, Energy, Mobility, and Autonomy) and its application to simulating plug-in electric vehicle (PEV) mobility, energy consumption, and spatiotemporal charging demand. BEAM is an agent-based model of PEV mobility and charging behavior designed as an extension to MATSim (the Multi-Agent Transportation Simulation model). We apply BEAM to the San Francisco Bay Area and conduct a preliminary calibration and validation of its prediction of charging load based on observed charging infrastructure utilization for the region in 2016. We then explore the impact of a variety of common modeling assumptions in the literature regarding charging infrastructure availability and driver behavior. We find that accurately reproducing observed charging patterns requires an explicit representation of spatially disaggregated charging infrastructure as well as a more nuanced model of the decision to charge that balances tradeoffs people make with regards to time, cost, convenience, and range anxiety.",Lawrence Berkeley National Laboratory,2017,Analysis,Report,http://www.energy.gov/node/3434571
Implementing Workplace Charging within Federal Agencies,"The number of Americans that chose to purchase plug-in electric vehicles (PEVs), which include plug-in hybrid electric vehicles(PHEVs) and all-electric vehicles (EVs), has steadily increased since 2011. Many of these drivers commute to federal worksites in communities across the country. The opportunity to charge a personal vehicle while at work is valuable to PEV drivers. Employees who have access to workplace charging are six times more likely to own a PEV than those who lack such access.",Vehicle Technologies Office,2017,Technology Integration,Report,http://www.energy.gov/node/3434568
Fuel Economy Guide: Model year 2017,"The Fuel Economy Guide is published by the U.S. Department of Energy as an aid to consumers considering the purchase of a new vehicle. The Guide lists estimates of miles per gallon (mpg) for each vehicle available for the new model year. These estimates are provided by the U.S. Environmental Protection Agency in compliance with Federal Law. By using this Guide, consumers can estimate the average yearly fuel cost for any vehicle. The Guide is intended to help consumers compare the fuel economy of similarly sized cars, light duty trucks and special purpose vehicles.",Vehicle Technologies Office,2016,Technology Integration,Report,http://www.energy.gov/node/3434565
U.S. DRIVE 2017 Technical Accomplishments Report,This report is a compilation of one-page summaries of technical accomplishments that U.S. DRIVE partners consider to be major steps forward in the development of technologies across the Partnership portfolio. Contributors include VTO and other U.S. DRIVE partners.,U.S. DRIVE Partnership,2018,Office-wide,Report,http://www.energy.gov/node/3423777
An Analysis of the Relationship between Casualty Risk Per Crash and Vehicle Mass and Footprint for Model Year 2003-2010 Light-Duty Vehicles ,"The Department of Energy's (DOE) Vehicle Technologies Office funds research on development of technologies to improve the fuel economy of both light- and heavy-duty vehicles, including advanced combustion systems, improved batteries and electric drive systems, and new lightweight materials. Of these approaches to increase fuel economy and reduce fuel consumption, reducing vehicle mass through more extensive use of strong lightweight materials is perhaps the easiest and least expensive method; however, there is a concern that reducing vehicle mass may lead to more fatalities. Lawrence Berkeley National Laboratory (LBNL) has conducted several analyses to better understand the relationship between vehicle mass, size and safety, in order to ameliorate concerns that down-weighting vehicles will inherently lead to more fatalities. These analyses include recreating the regression analyses conducted by the National Highway Traffic Safety Administration (NHTSA) that estimate the relationship between mass reduction and U.S. societal fatality risk per vehicle mile of travel (VMT), while holding vehicle size (i.e. footprint, wheelbase times track width) constant; these analyses are referred to as LBNL Phase 1 analysis.",Lawrence Berkeley National Laboratory,2018,Materials,Report,http://www.energy.gov/node/3369557
Co-Optimization of Fuels & Engines: Fuel Blendstocks with the Potential to Optimize Future Gasoline Engine Performance," This study identifies eight representative high-octane blendstocks across five chemical groups that could be blended into gasoline for better performance. These new blendstocks, co-optimized with advanced gasoline engines, show potential to improve passenger vehicle fuel economy by 10%. ",National Renewable Energy Laboratory,2018,Advanced Engine and Fuel Technoloies,Report,http://www.energy.gov/node/3311575
Co-Optimization of Fuels & Engines: Efficiency Merit Function for Spark-Ignition Engines,"This study outlines a new mathematical equation which quantifies the fuel efficiency potential associated with different fuel properties. The goal of this research is to provide American industry with the scientific foundation needed to maximize vehicle and fuel performance and efficiency, thereby enabling increased fuel economy and more affordable transportation. ",National Renewable Energy Laboratory,2018,Advanced Engine and Fuel Technoloies,Report,http://www.energy.gov/node/3311568
Analysis of hydrogen as a Transportation Fuel FY17 Report,"This report summarizes the results of literature reviews, surveys and analyses performed to evaluate the potential of hydrogen-fueled vehicles to be an economically viable transportation alternative. Five existing and important drivers of expanding hydrogen-fueled transportation adoption are multi-billion dollar sales reservations of Nikola Class 8 trucks, CALSTART viability analysis of hybrid-hydrogen drayage trucks in the shipyard cargo application, analysis showing economic advantages of Fuel Cell Electric Vehicles (FCEV)s over Battery Electric Vehicles (BEV)s beginning at 150-mile ranges, the announcement of a commercial 5kg electrolyzer, and commercial plans or vehicle availability by nine vehicle manufacturers of FCEV passenger vehicles. But hydrogen infrastructure availability needed to support broad adoption of hydrogen-fueled vehicles is limited to less than 50 publicly-available refueling stations, primarily in California. The demand side (consumer) economics associated with FCEV adoption showed strong economic sensitivity to the original vehicle's fuel economy (mpg), distance traveled, and hydrogen (H2) generation costs. Seven use cases were used to evaluate the broad range of potential FCEV purchasers, including autonomous vehicle applications.",Pacific Northwest National Laboratory,2017,Energy Efficient Mobility Systems,Report,http://www.energy.gov/node/3282987
US DRIVE Integrated Systems Analysis Technical Team Roadmap,"The primary scope of ISATT activities will be ""big picture"" multi-vehicle platform techno-economic system analysis. Examples include target-setting exercises and extension/updated of the cradle-to-grave assessment of vehicle-technologies. Ancillary programming/work may also be conducted to improve systems analysis models for specific technologies. In all cases, specific projects and tasks will be developed and prioritized to address knowledge gaps, developing new tools and methods where necessary and timely. As an example, the move towards electrification and renewable power may motivate topics such as battery second-use, vehicles for load management, and electro-fuels. This roadmap structures the overarching multi-year plan for ISATT activities and intended outcomes; however, this tech team revisits Roadmap-identified activities on an annual basis to develop Annual Plans subject to Joint Operations Group (JOG)
review and approval.",U.S. DRIVE Partnership,2018,Analysis,Report,http://www.energy.gov/node/3281524
Vehicle Technologies Office Q4 2017 Quarterly Analysis Review,"The Quarterly Analysis Review, known colloquially as the ""QAR,"" surveys work supported by the VTO Analysis Program within the broader context of energy and automotive U.S. and global markets as well as other analytical studies.  The QAR comprises a glimpse at the transportation energy ecosystem within which VTO operates. This is the Q4 2017 presentation of the QAR. ",Vehicle Technologies Office,2017,Analysis,Presentation,http://www.energy.gov/node/3124411
Vehicle Technologies and Fuel Cell Technologies Program: Prospective Benefits Assessment Report for Fiscal Year 2018,"Under a diverse set of programs, the Vehicle Technologies and Fuel Cell Technologies Offices of the U.S. Department of Energy's Office of Energy Efficiency and Renewable Energy invest in early-stage research of advanced batteries and electrification, engines and fuels, materials, and energy-efficient mobility systems; hydrogen production, delivery, and storage; and fuel cell technologies. This report documents the estimated benefits of successful development and implementation of advanced vehicle technologies. It presents a comparison of a scenario with completely successful implementation of Vehicle Technologies Office (VTO) and Fuel Cell Technologies Office (FCTO) technologies (the Program Success case) to a future in which there is no contribution after Fiscal Year 2017 by the VTO or FCTO to these technologies (the No Program case).",Argonne National Laboratory,2017,Analysis,Report,http://www.energy.gov/node/3066710
Vehicle Technologies Office Q3 2017 Quarterly Analysis Review,"The Quarterly Analysis Review, known colloquially as the ""QAR,"" surveys work supported by the VTO Analysis Program within the broader context of energy and automotive U.S. and global markets as well as other analytical studies.  The QAR comprises a glimpse at the transportation energy ecosystem within which VTO operates. This is the Q3 2017 presentation of the QAR.",Vehicle Technologies Office,2017,Analysis,Presentation,http://www.energy.gov/node/3038864
Vehicle Technologies Office Q2 2017 Quarterly Analysis Review,"The Quarterly Analysis Review, known colloquially as the ""QAR,"" surveys work supported by the VTO Analysis Program within the broader context of energy and automotive U.S. and global markets as well as other analytical studies.  The QAR comprises a glimpse at the transportation energy ecosystem within which VTO operates. This is the Q2 2017 presentation of the QAR.",Vehicle Technologies Office,2017,Analysis,Presentation,http://www.energy.gov/node/3038857
2017 Annual Merit Review Report,"This report contains the results of the 2017 U.S. Department of Energy (DOE) Fuel Cell Technologies Office (FCTO) and Vehicle Technologies Office (VTO) Annual Merit Review and Peer Evaluation Meeting (AMR), held June 5-9, 2017, in Washington, DC. The review encompassed all of the work done by the FCTO and the VTO: 263 activities were reviewed for VTO, by a total of 191 reviewers. A total of 1,241 individual review responses were received for the VTO technical reviews. The objective of the meeting was to review the accomplishments and plans for VTO over the previous 12 months, and provide an opportunity for industry, government, and academia to give inputs to DOE on the Office with a structured and formal methodology. The meeting also provided attendees with a forum for interaction and technology information transfer.",Vehicle Technologies Office,2017,Office-wide,Report,http://www.energy.gov/node/2945351
Lightweight Materials 2016 Annual Progress Report,The Lightweight Materials research and development (R&D) area within the DOE Vehicle Technologies Office (VTO) provides support and guidance for many cutting-edge automotive technologies under development. Research focuses on addressing critical barriers to commercializing lightweight materials for passenger and commercial vehicles. This report describes the progress made on the research and development projects funded by the Lightweight Materials area.,Vehicle Technologies Office,2017,Materials,Report,http://www.energy.gov/node/2944751
Vehicle Systems 2016 Annual Progress Report,"Vehicle Systems is concerned with advancing light-, medium-, and heavy-duty (HD) vehicle systems to support DOE's goals of developing technologies for the U.S. transportation sector that enhance national energy security,increase U.S. competitiveness in the global economy, and support improvement of U.S. transportation and energy infrastructure.",Vehicle Technologies Office,2017,Energy Efficient Mobility Systems,Report,http://www.energy.gov/node/2918160
Enabling Extreme Fast Charging: A Technology Gap Assessment,"Decreasing energy consumption across the U.S. transportation sector, especially in commercial light-duty vehicles, is essential for the United States to gain energy independence. Recently, powertrain electrification with plug-in electric vehicles (PEVs) have gained traction as an alternative due to their inherent efficiency advantages compared to the traditional internal combustion engine vehicle (ICEV). Even though there are many different classes of PEVs, the intent of this study is to focus on non-hybrid powertrains, or battery electric vehicles (BEVs).",Vehicle Technologies Office,2017,Batteries and Electrification,Report,http://www.energy.gov/node/2916852
Fuel and Lubricant Technologies 2016 Annual Progress Report,This report describes the progress made on the research and development projects funded by the Fuel and Lubricant subprogram in the Vehicle Technologies Office in 2016.,Vehicle Technologies Office,2017,Advanced Engine and Fuel Technoloies,Report,http://www.energy.gov/node/2868277
Synthesis Study on Transitions in Signal Infrastructure and Control Algorithms for Connected and Automated Transportation,"This synthesis study explores the current state of signal control algorithms and infrastructure, reports the completed and newly proposed CV/CAV deployment studies regarding signal control schemes, reviews the deployment costs for CAV/AV signal infrastructure, and concludes with a discussion on the opportunities such as detector free signal control schemes and dynamic performance management for intersections, and challenges such as dependency on market adaptation and the need to build a fault-tolerant signal system deployment in a CAV/CV environment.",Oak Ridge National Laboratory,2017,Energy Efficient Mobility Systems,Report,http://www.energy.gov/node/2840941
National Plug-In Electric Vehicle Infrastructure Analysis,This report addresses the fundamental question of how much plug-in electric vehicle (PEV) charging infrastructure also known as electric vehicle supply equipment (EVSE) is needed in the United States to support both plug-in hybrid electric vehicles (PHEVs) and battery electric vehicles (BEVs).,National Renewable Energy Laboratory,2017,Analysis,Report,http://www.energy.gov/node/2788305
Advanced Batteries 2016 Annual Progress Report,"The Advanced Batteries research and development (R&D) subprogram within the DOE Vehicle Technologies Office (VTO) provides support and guidance for projects focusing on batteries for plug-in electric vehicles. Program targets focus on overcoming technical barriers to enable market success including: (1) significantly reducing battery cost, (2) increasing battery performance (power, energy, durability), (3) reducing battery weight & volume, and (4) increasing battery tolerance to abusive conditions such as short circuit, overcharge, and crush. This report describes the progress made on the research and development projects funded by the Battery subprogram in 2016. This section covers the Vehicle Technologies Office overview; the Battery subprogram R&D overview; Advanced Battery Development project summaries; and Battery Testing, Analysis, and Design project summaries. It also includes the cover and table of contents.",Vehicle Technologies Office,2017,Batteries and Electrification,Report,http://www.energy.gov/node/2747741
Propulsion Materials 2016 Annual Progress Report,"The Propulsion Materials Program actively supports the energy security and reduction of greenhouse emissions goals of VTO by investigating and identifying the materials properties that are most essential for continued development of cost-effective, highly efficient, and environmentally friendly next-generation heavy and light-duty powertrains. The technical approaches available to enhance propulsion systems focus on improvements in both vehicle efficiency and fuel substitution, both of which must overcome the performance limitations of the materials currently in use. Propulsion Materials Program activities work with national laboratories, industry experts, and VTO powertrain systems (e.g., Advanced Combustion Engines and Fuels) teams to develop strategies that overcome materials limitations in future powertrain performance. The technical maturity of the portfolio of funded projects ranges from basic science to subsystem prototype validation. Projects within a Propulsion Materials Program activity address materials concerns that directly impact critical technology barriers within each of the above programs, including barriers that impact fuel efficiency, thermal management, emissions reduction, improved reliability, and reduced manufacturing costs. The program engages only the barriers that result from material property limitations and represent fundamental, high-risk materials issues.",Vehicle Technologies Office,2017,Materials,Report,http://www.energy.gov/node/2747277
Electric Drive Technologies 2016 Annual Progress Report,"The Electric Drive Technologies research and development (R&D) subprogram within the DOE Vehicle Technologies Office (VTO) provides support and guidance for many cutting-edge automotive technologies under development. Research is focused on developing power electronics (PE), electric motor, and traction drive system (TDS) technologies that will reduce system cost and improve their efficiency in transforming battery energy to useful work. The R&D is also aimed at better understanding and improving how various components of tomorrow's automobiles will function as a unified system to improve fuel efficiency.",Vehicle Technologies Office,2017,Batteries and Electrification,Report,http://www.energy.gov/node/2747273
Advanced Combustion Engine 2016 Annual Progress Report,"The Advanced Combustion Engine research and development (R&D) subprogram within the DOE Vehicle Technologies Office (VTO) provides support and guidance for many cutting-edge automotive technologies under development. Research focuses on addressing critical barriers to commercializing higher efficiency, very low emissions advanced internal combustion engines for passenger and commercial vehicles.",Vehicle Technologies Office,2017,Advanced Engine and Fuel Technoloies,Report,http://www.energy.gov/node/2747269
Challenges and Opportunities of Grid Modernization and Electric Transportation,Grid investments that support electric vehicle deployments as a part of planned modernization efforts can enable a more efficient and cost-effective transition to electric transportation and allow investor-owned electric companies and public power companies to realize new revenue resources in times of flat or declining loads. This paper discusses the challenges and opportunities associated with an increase in plug-in electric vehicle (PEV) adoption and how working together both sectors stand to benefit from closer integration.,Vehicle Technologies Office,2017,Batteries and Electrification,Report,http://www.energy.gov/node/2586049
