ID,Specification_Title,Specification_Description,Specification_Template_Language,Specification_Background,Requirements,Solicitation_Section,Array_Type,System_Component,Specification_Topic,Images,Specialized_Topic
149,Microgrid Ready Controls,<p>This section provides guidance on how the microgrid system can provide services to the utility grid.</p>,"<p>The inverter shall be capable of curtailing its output in logical steps in response to communication from the system controller. One option is to have the capability to shed individual strings in addition to full curtailment.
</p><p>
The inverter shall have adjustable trip limit and time-delay capability as defined by UL 1741, and advanced power control functionality including reactive power capability (source VARs), power increase ramp rate control (and power decrease rate control if storage is available), and curtailment set points.
</p><p>
In some instances, the power system controller set points may be set outside of the UL 1741 and IEEE 1547 requirements, with mutual agreement between the federal agency, the utility, the Contractor (and others such as a fire marshal) to allow for adjustment of the cease-to-energize limits and time delays specified in UL 1741/IEEE 1547, including adjustments to the low-voltage ride through (LVRT), low-frequency ride through (LFRT), high-voltage ride through (HVRT), and high-frequency ride through (HFRT) specifications.
</p><p>
The inverter shall be able to change settings via a remote power system controller and appropriate power analytics software and be capable of real-time monitoring, diagnostics, and management in the grid-interactive mode and microgrid (intentional island) mode.
</p>",,Advanced,Specifications,Specialized Topic: Microgrid Ready: General Requirements,Inverter,Engineering; Resiliency; Codes and Standards,,Microgrid Ready: General Requirements
150,Microgrid Ready Only,<p>This section provides guidance on how the PV system can be designed and constructed to allow for the future implementation of a microgrid at the facility. </p>,"<p>In addition to connecting and operating in a grid-interactive mode, the Contractor's proposed PV system shall be capable of being included in a future microgrid that can operate when the utility grid is unavailable. This microgrid could include conventional (engine) generators, other renewable resources, and/or energy storage. For the purposes of this RFP, this requirement shall also be met by the following:
</p><p>
PV inverters shall be multi-mode DC-to-AC inverters capable of switching between grid-interactive mode and microgrid (intentional island) mode. The inverters shall comply with the IEEE 1547.4 ""Guide for Design, Operation, and Integration of Distributed Resource Island Systems with Electric Power System"" standard. While in the grid-interactive mode, the inverters shall be capable of four-quadrant operation (real and reactive power in and out of the inverter).
</p><p>
If there is no isochronous generator in the system that sets frequency and voltage to the microgrid, an inverter with battery storage needs to be selected to do this. Other inverters in the system will synch to this master inverter.
</p><p>
The Contractor shall install spare communications conduit in the trenches that could be used to route future communications cabling to a point of common coupling from the inverter(s). The communications conduit shall be capable of connecting the inverter with a remote power system controller and any other pertinent equipment. The duct bank shall include spacers to separate communications from power conduits. The Contractor shall coordinate with the site staff to ensure that the installed equipment meets microgrid ready needs, within the budget established by the Contractor in its proposal.
</p><p>
The Contractor shall also consider space-planning issues such as pad space for batteries, as needed.
</p><p>
The Contractor shall cooperate with the site when requested to determine the necessary equipment and other changes required to meet future microgrid requirements. The Contractor's proposal shall include <insert number> hours for this microgrid coordination work. If additional effort is required, the Contractor will be compensated separately. Microgrid configuration changes will be funded by the Government. The Contractor's proposal also shall include details regarding how the proposed equipment meets the above requirements, how the equipment differs from a PV system that would only operate in the grid-interactive mode, and any other important considerations.
</p><p>
For third-party owned systems: The third-party owner will be compensated for all power generated during microgrid operation, using the same pricing schedule as other generation.</p>",,Advanced,Specifications,Specialized Topic: Microgrid Ready: General Requirements,Inverter,Engineering; Resiliency; Codes and Standards,,Microgrid Ready: General Requirements
151,Operations and Maintenance During the Life of the Contract,<p>This section describes the requirements that the Contractor must follow for effective operations and maintenance of the PV systems.</p>,"<p>The Contractor shall be responsible for all aspects of maintaining and operating the PV system, including but not limited to: cleaning the arrays; replacing deteriorated, malfunctioning, broken, or worn out system components; and performing maintenance in accordance with equipment manufacturer recommendations and the minimum performance standards established through this document. The Contractor shall maintain the solar PV system area to include pollinator plantings, mowing, animal grazing (under Government pre-approval) for weed control, raking, sweeping, mopping, dusting, snow removal, disposal of accumulated waste materials and rubbish, and other operations necessary to present a neat appearance. The Contractor shall store all supplies and equipment only at an approved storage area so as to preclude theft or damage and maintain the site in a neat and orderly manner. The system shall be maintained so as to comply with the version of the National Electrical Code (NFPA 70) in effect at the time of contract award. 
</p>",,Advanced,Specifications,All,,O&M; Safety,,All
152,Notice of System Damage and Management of Emergency Events,<p>This section describes the procedures the Contractor must follow in regards to damage and/or emergency events relevant to the PV system.</p>,"<p>The Contractor shall promptly notify the Government if it becomes aware of any damage to or loss of the use of the solar PV systems or of circumstances that could reasonably be expected to adversely affect the PV system The Contractor shall promptly notify the Government if it becomes aware of any event or circumstance that poses an imminent risk to human health, the environment, the PV array(s), or the premises. The Contractor shall immediately dispatch the appropriate personnel to perform the necessary repairs or corrective action in an expeditious and safe manner. Notice shall be provided to the Government personnel, and the Contractor shall be provided with contact information for the Government personnel at the time of award.
</p><p>
In the event the Contractor fails to respond as required in the contract, and in the event of emergencies, the Government may incur expenses to perform emergency repairs to Contractor-installed equipment, as well as Government equipment for which the Contractor assumed maintenance and repair responsibilities. The Contractor shall hold the agency harmless in such cases where the Contractor fails to respond appropriately in emergencies. The Contractor shall promptly reimburse the Government for any and all costs incurred in responding to such emergencies. Such reimbursement may include the Government adjusting the payment schedule, as necessary, to recover such costs.
</p><p>
In the event any system becomes unsafe to operate, agency facilities personnel shall place the disconnect switches in the open position and then notify the Contractor immediately of conditions of any faulted array. 
</p>",,Advanced,Specifications,All,,O&M; Safety,,All
153,Routine Main Electrical Service Repair,<p>This section describes the potential electrical distribution system shutoffs that may occur for preventative maintenance. </p>,"<p>On three separate occurrences per year, the building electrical distribution system may be shut off so that electrical preventative maintenance and repair can be performed on the building electrical distribution system. Each shutdown will not last longer than 24 hours, and the Government shall make attempts to schedule the work during off-peak unoccupied hours; however, the Contractor is to plan for daytime interruption of the PV system output during these times.</p>",,Advanced,Specifications,All,,O&M; Safety,,All
154,Inspection,<p>This section includes pertinent information on Section E: Inspection & Acceptance.</p>,"<p>(a) The Contractor shall conform to the requirements of FAR Clause 52.212-4 paragraph (a),  Inspection/Acceptance, included by reference in this solicitation and resulting Contract.</p>

<p>(b) The Contracting Officer or the delegated Contracting Officer's Representative may inspect the PV system at any time during construction or after the PV system has been put in operation, with a minimum 48-hour notice. The Contractor may be ordered to stop work, or shut the systems down, if unsafe conditions or code violations are noted.</p>

<p>(c)  A final inspection of the PV System shall be made only when all the materials have been furnished, all the work has been performed, and all the construction provided for by the contract in accordance with the terms has been completed.  If, upon examination by the Contracting Officer and/or Government inspection personnel, the project is determined not sufficiently completed to have warranted a final inspection, the contractor may be charged with any additional cost of reinspection. </p>

<p>(d)  The contractor shall give the Contracting Officer ten (10) calendar days advance notice, in writing, of the date the work will be fully completed and ready for final inspection.  </p>

<p>(e)  The Contractor's request for final inspection will not be approved unless documentation below, at a minimum, has been provided to the Contracting Officer, in addition to all other contract requirements:</p>
<p>
<li>Final built drawings (record drawings), meeting Section C as-built requirements
</li><li>Preventative maintenance work schedules and procedures
</li><li>Operation and maintenance manuals (electronic and hardcopy)
</li><li>Equipment documentation and spare parts lists
</li><li>Certificates of Authority Having Jurisdiction inspections  
</li><li>Training of appropriate site staff regarding safe emergency shutdown procedures
</li><li>Posted instructions for tasks that site staff may need to perform, such as system shutdown during an emergency</li>
</p>
<p>(f) As soon as practicable, following final inspection, the Contracting Officer will inform the Contractor, in writing, of any discrepancies and/or omissions noted at the final inspection.  The Contracting Officer also shall state the time allowable for replacement of material and performance of any unsatisfactory work necessary before written notification of System Acceptance Testing.</p>

<p>(g) Upon written notification that all deficiencies identified during the final inspection have been corrected, the Contracting Officer will schedule a final inspection of the work.  If all construction required by the contract is found completed and all contract requisites submitted, the Contracting Officer shall notify the Contractor in writing that the thirty (30) day performance period can begin. During this time period, the CO/COR can negotiate payment with the Contractor.</p>",,Advanced,System Acceptance,All,,Safety,,All
155,System Acceptance Testing,"<p>This section provides pertinent information on the performance testing, startup, and commissioning of the PV system during system Inspection and Acceptance.</p>","<p>After the franchise utility provides permission (interim for testing) to operate in parallel with the grid, the Contractor shall complete commissioning and acceptance testing, in accordance with agency safety plans, its own quality-control plan, manufacturer's recommendations, franchise utility interconnection requirements, IEC 62446 Grid Connected Photovoltaic Systems Minimum Requirements for System Documentation, Commissioning Tests, and Inspection. The Contractor shall document all performance measurements. </p>

<p>The Contractor shall provide all work required for testing, start-up, and commissioning as required by the following requirements:</p>

<ul>
<li>As part of the commissioning process, Contractor to follow both IEC 62446 and IEC 61724 (Weather Corrected Performance Ratio).
</li><li>The Contractor shall provide the services of the third-party Testing Agency that employs North American Board of Certified Energy Practitioners (NABCEP) or International Test Association (NETA) certified engineers and or technicians to perform start-up and acceptance testing of the specified PV system.
</li><li>An agency manager or representative may request to be present during any or all phases of the start-up and testing activities.
</li><li>The system shall be started up and tested in accordance with the regulations of the applicable interconnection standards.
</li><li>Complete a system commissioning per this section and equipment manufacturer's written instructions. 
</li><li>Request and coordinate with the utility company and Government for acceptance and certification of the PV system and permission to operate.
</li><li>Set and adjust circuit protection devices according to the short circuit and coordination study.
</li><li>Commissioning shall include the Contractor's Data Acquisition System (DAS).
</li>
</ul>

<p>The Contractor shall notify the Government not less than ten (10) Business Days prior to the anticipated date of System Acceptance Testing. The Government shall have the right, but not the obligation, to be present at and observe the System Acceptance Testing, at the Government's sole cost. The System Acceptance Testing shall be witnessed by the utility if required for interconnection approval, and the Contractor shall meet the utility's test notification requirements.</p>",,Advanced,System Acceptance,All,,Safety,,All
156,Final As-Built Drawing Requirements,<p>This section provides pertinent information on the final as-built drawings that Contractors need to submit to the agency as part of the final acceptance process.</p>,"<p>Provide drawings for each discipline required (electrical, roofing, structural, etc.), with separate plans for new work and demolition as well as special types of drawings where necessary, such as enlarged plans, equipment curbing and flashing details, ground mounting and roof penetration details, etc. Detailed drawing shall be provided showing the base and structural supports (i.e., footers, pylons, supports, etc.) planned for supporting the array.  Drawings shall clearly distinguish between new and existing work.  Each drawing shall indicate project title, official <agency name> title block, project number, building name, building address, A/E firm, A/E's address and/or phone number, contract number, drawing title, drawing type, drawing number, and key plan. A cover sheet shall be provided and shall include a list of the drawings, legend, vicinity map, and location map in addition to all items required for each drawing. Each A/E submission shall be clearly dated and labeled. Each drawing sheet submitted to the Government shall include a graphic scale in the lower right-hand portion of the sheet. The final set shall be stamped by a registered engineer and/or registered architect licensed for the jurisdiction in which the project is located. Restrictive markings must be affixed to all drawings in accordance with each agency's document security policies.  Drawings shall not be copyrighted by the Contractor or Contractor's designer.  Provide drawings sent for comment in hard copy and pdf in quantities requested by the contracting officer. </p>

<p>A final set of as-built drawings shall be submitted as part of the final acceptance process. The as-built drawings shall be submitted in both dwg and pdf formats and at a minimum shall include the following:</p>

<ol>
<li>One sheet showing the array field with each module, circuit (DC and AC), combiner box, and inverter designated on the drawing under a numbering scheme, with each item correspondingly labeled in the field.  The sheet shall show locations of major balance-of-system components, transformers, switchgear, weather station, and any building management systems. 
</li><li>Show all Government-approved design changes made during the design and construction and commissioning phases. All relevant drawing sheets shall be updated showing changes made to structural, electrical, and geotechnical elements.
</li><li>A single-line electrical drawing showing all DC and AC circuits. The drawing shall highlight the location of critical disconnect switches. 
</li><li>Any underground utilities discovered as part of this project that are in and around the array area.  
</li><li>A <agency name> drawing title block will be provided by the contracting officer. </li>
</ol>
<p>The Contractor shall maintain a set of ""red line"" drawings with all Government-approved design changes made during construction and site conditions, especially underground. Upon completion of construction, the Contractor shall submit final design documents, including, at a minimum, drawings that are updated to reflect all changes, with details of the PV system structural support, electrical single-line diagrams, and complete product literature for review by the Government.</p>",,Advanced,System Acceptance,All,,O&M; Safety,,All
157,Final Acceptance,<p>This section provides pertinent information on the requirements that must be fulfilled to achieve final acceptance.</p>,"<p>The following requirements must be fulfilled before final acceptance:</p>

<ul>
<li>The PV system equipment has been commissioned per IEC 62446, and other requirements as specified above.
</li><li>System Acceptance Testing has been completed, with the PV system having generated electric energy for thirty (30) continuous days at energy and power production levels consistent with the proposed PV system's estimated production with 100% system availability, measured with applicable instruments and meters.
</li><li>The PV system has been approved for interconnected operation by the utility (with a signed interconnection agreement).
</li><li>Submission of as-built drawing.
</li><li>Training fulfillment documentation.</li>
</ul>

<p>Then the Contractor shall send a Completion Notice and a copy of the System Acceptance Testing to the Contracting Officer so that the Government can complete its final acceptance. The Government shall have ten (10) Business Days after receipt of the Completion Notice to review the System Acceptance Testing results and verify that the PV system installation is complete, safe, aesthetically acceptable, functional, constructed to all code requirements, does not interfere with Government or tenant operations, and otherwise meets all other requirements. The Contracting Officer will notify the Contractor in writing of System Acceptance. </p>

<p>If any of these requirements are not met, then the Government shall provide the Contractor with a detailed notice of such failure (a """"Rejection Notice"""") within the ten (10) Business Day period, with details regarding the required remedy (including repeat of either partial or full System Acceptance Testing, if appropriate, at the discretion of the CO or COR), and the time allowed to complete the remedy. The Contractor shall promptly remedy at Contractor's cost the items identified in the Rejection Notice and conduct the required System Acceptance Testing (if required by the Rejection Notice) until the System Acceptance Testing indicates that the PV system meets the contract requirements. In each such case, the Contractor shall send a new Completion Notice to the Government with a copy of the results of the new System Acceptance Testing as provided above, and the foregoing procedures shall be repeated.</p>

<p>Written acceptance shall be final and conclusive, except as regards latent defects, fraud, or such gross mistakes as may amount to fraud, or as regards the Government's right under any warranty or guarantee, subject to the system performance warranty.</p>",,Advanced,System Acceptance,All,,Safety,,All
158,Technical Proposal Submittal Requirements,<p>This section provides pertinent information on the requirements for the Offeror's technical proposal.</p>,"<p>Technical proposals shall be limited to 75 single-sided pages, inclusive of all charts, resumes, forms, and other documentation responsive to the solicitation requirements. The schematic-level drawings shall be submitted in 11 x 17 format, and at a resolution adequate for the Government to view both the printed and electronic versions easily.  Pages exceeding the 75 single-sided page maximum page limitation may not be considered during the evaluation of the proposal. 
</p><p>
No pricing shall be included in the technical proposal.
</p><p>
The technical proposal shall include submittals for each technical factor as specified below:
</p>",,Advanced,Instructions to Bidders,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
159,Factor 1: Technical Capabilities Instructions,<p>This section provides relevant information for the Offeror to demonstrate their understanding of the RFP's scope of work.</p>,"<p>The Offeror shall submit information, schematic drawings, and an explanatory narrative that clearly demonstrate their understanding of and approach to accomplishing the complexity and magnitude of the requirements set forth in the Scope of Work.  Each of the topics below must be included in the narrative, tabbed in the technical proposal and discussed separately.</p>",,Advanced,Instructions to Bidders,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
160,Factor 1: Technical Capabilities Instructions - Subfactor 1   Minimum Guaranteed Annual energy production in kWh-AC,<p>This section provides information on the worksheet that needs to be submitted to identify the minimum guaranteed energy production from the PV system.</p>,"<p>The Contractor shall provide to the agency the Minimum Guaranteed Annual Energy Production (kWh/year) Schedule, using the local airport weather file and PV watts.</p>",,Advanced,Instructions to Bidders,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
161,Factor 1: Technical Capabilities Instructions - Subfactor 2   Schematic-level drawing(s) and other information for the proposed PV array to include at a minimum,<p>This section provides information to the specific technical drawings the Offeror must submit.</p>,"<p>Schematic-level drawings (on 11 x 17 paper and an electronic version at a resolution such that it is legible when printed on 11 x 17 paper) showing the proposed array layout, projected array boundaries, array size for each location (kW DC), array type (ground fixed, ground tracking, carport, etc.), and billing meter locations. The drawings shall include a simplified electrical single line diagram of the local electrical distribution system with proposed points of interconnection.</p>


<ul><li>Describe the approach to meet all (Government, agency, and utility) cybersecurity requirements.

</li><li>Describe the approach to make each system microgrid ready.

</li><li>Identify the location of balance-of-system components, including inverters, switchgear, and transformers.

</li><li>Show supervisory control and data acquisition (SCADA), data acquisition system, metering telemetry, and communications wiring diagrams.

</li><li>Provide cut sheets for the main hardware components:
    <ul> </li><li>PV modules
     </li><li>Racking hardware
     </li><li>Inverters
     </li><li>Metering equipment</li></ul></ul>",,Advanced,Instructions to Bidders,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
162,Factor 1: Technical Capabilities Instructions - Subfactor 3   Initial interconnection plan to include at a minimum,<p>This section provides guidance for the Offeror when creating an interconnection plan.</p>,"<p>List all interconnection concerns that may affect achieving a successful interconnection agreement with utility and proposed solutions. Include an example of how the Offeror addressed similar concerns for another completed solar project.
</p><p>
List barriers and challenges Offeror will face with the utility that could impact the project scope and size of any of the proposed PV system.
</p><p>
Show the physical points of interconnection through the schematic design, as requested in Subfactor 2.
</p><p>
Discuss the site's distribution system impact study approach. Identify any obvious incompatibilities with the site's distribution system (e.g. power flow constraints, unintended back-feed trips) with proposed arrays and the resulting equipment upgrades that would be required.
</p><p>
Projected schedule of interconnection activities leading to commercial operation of all PV system.
</p>",,Advanced,Instructions to Bidders,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
163,Factor 1: Technical Capabilities - Subfactor 4   Implementation plan to include at a minimum,<p>This section provides relevant information for the Offeror to describe their implementation plan from project start to finish.</p>,"<p>Schedule of major project phases including design/engineering, ramp-up phase, construction, commissioning and project acceptance  shown in weeks.
</p><p>
The schedule shall show how the Offeror will meet any Internal Revenue Service  requirements pertaining to the Investment Tax Credit (ITC) and any other incentives that will be applied.
</p><p>
Provide an Operations and maintenance (O&M) plan (see Section <__>).  Contractor shall disclose  year 1, year 5 and year 10 estimated O&M costs.  
</p><p>
Identify who will perform O&M plan (Offeror and/or sub-contractor).
</p><p>
Describe how the electrical equipment (inverters, combiners, switches and transformers) will be maintained to meet the requirements in Section <___>, including the frequency of each O&M task.
</p><p>
Describe emergency shutdown procedures.
</p><p>
Describe the training plan and identify shutdown requirements for site facilities engineers in case of emergency events. Also provide the following plans:
Service Interruption/Contingency Plan - This plan identifies defined procedures and provisions for responding to all service interruptions, both under normal daily operations and during disaster/contingency operations.  Include a discussion of the expected causes of service interruptions and how each would be handled, both internally and externally, by the Offeror, and the expected time to come back online.
</p><p>
Force Majeure Plan - Describe how the Offeror plans to protect itself (both financially and in terms of physical assets) from a catastrophic loss or event that significantly affects the renewable energy system.  NOTE: A catastrophic loss or event includes but is not limited to widespread vandalism, acts of God, or a Public Enemy.  Identify how the Offeror will bring the system back into service expeditiously following any such catastrophic loss or event.  Identify any intent to rely on the Federal Emergency Management Agency (FEMA) or other Government relief agencies for financial assistance in recovering from any catastrophic loss or event, and identify to what extent, if any, the Offeror would expect reimbursement under the contract.  Identify any catastrophic insurance.
</p><p>
Workforce Management Plan   The Offeror shall identify key project personnel that will be assigned permanently to the project and a contingency plan in case of absence of primary personnel. Describe the lines of management authority, supervision, span of control and accountability, including the relationship between prime and subcontractors. Provide diagrams showing the proposed organization and workforce project management plan.  Include plans (if any) to form a Special Purpose Entity (SPE) and the associated novation requirements (see Section< __>).</p>",,Advanced,Instructions to Bidders,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
164,Factor 2: Corporate Experience,<p>This section provides information on the requirements for the Offeror when providing evidence of corporate experience.</p>,"<p>The Offeror shall provide evidence of Corporate Experience by submitting Project Data sheets for no more than five (5) projects.  Each Project Data sheet shall include the information outlined in this Section and shall follow the format listed below:</p>

<p>Contract Number<br/>
Contract Awardee name, address, and contact information<br/>
Contract Type (Firm-Fixed Price, Time and Materials, etc.)<br/>
Project Title<br/>
Project Location<br/>
Client Contact information<br/>
Project Start Date<br/>
Project Completion Date<br/>
Project Cost (Awarded cost and Final cost)<br/>
Project Description<br/>
Description of self-performed work<br/>
Other pertinent information<br/>

<p>Offeror shall demonstrate experience designing, financing (including beneficial use of renewable energy credits/rebates/incentives/tax credits), constructing, owning, operating, and maintaining a renewable system(s) similar in scope, size, type, and complexity to a project(s) identified in the RFP.  Project(s) cited and references shall be recent (i.e., within five years of the date of the proposal) and greater than <insert PV system size>.  Offerors are encouraged to include narratives regarding experience obtaining signed interconnection agreements, including challenges and how issues were resolved.  
</p><p>
For all submitted projects, the project description shall clearly describe the scope of work performed and the relevancy to the project requirements of this RFP as described above, along with the client name, primary point of contact, address, telephone number, and email address. 
</p><p>
If the Offeror is a Joint Venture (JV), relevant project experience shall be submitted for projects completed by the Joint Venture entity. If the Joint Venture does not have shared experience, projects shall be submitted for each Joint Venture partner.  
</p><p>
If an Offeror is utilizing experience information of affiliates/subsidiaries/parent/LLC/LTD member companies (name is not exactly as stated on the SF33), the proposal shall clearly demonstrate that the affiliate/subsidiary/parent firm will have meaningful involvement in the performance of the contract. 
</p><p>
Project Data sheets shall be limited to three (3) single-sided pages per project.  Offerors submit no more than 15 pages of Corporate Experience.</p>",,Advanced,Instructions to Bidders,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
165,Factor 3: Past Performance,<p>This section includes pertinent information on the references and information the Offeror must provide on past projects similar to the project described in the RFP.</p>,"<p>The Offeror shall provide references and information about its past performance for up to five solar PV projects of similar size, contract type, complexity, and scope. 
</p><p>
If available, Offerors shall submit Past Performance data for the projects provided in response to Factor 2: Corporate Experience.
</p><p>
Offerors shall submit the Past Performance Questionnaire (PPQ).
</p><p>
PPQ's shall be completed and signed by the Offeror's previous Clients.  If the Offeror is unable to obtain a completed PPQ from a client for a project(s) before proposal closing date, the Offeror shall complete and submit with the proposal the first page of the PPQ, which will provide contract and client information for the respective project(s).  
</p><p>
The Government may contact the Offeror's references to determine customer satisfaction with various aspects of the Offeror's performance, and may use other sources of information. If the Offeror fails to provide valid client contacts, past performance references may not be considered.
</p><p>
While the Government may elect to consider data from other sources, the burden of providing detailed, current, accurate, and complete past performance information rests with the Offeror.
</p><p>
The Offeror shall follow up with clients/references to ensure timely submittal of questionnaires.  If the client requests, questionnaires may be submitted directly to the Government's point of contact, <<INSERT>> prior to the proposal's closing date.</p>",,Advanced,Instructions to Bidders,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
166,General,<p>This section provides general information on the Governmental process to evaluate the Offerors' proposals.</p>,"<p>Offerors must submit information sufficient to evaluate their proposal based on the detailed criteria below.
</p><p>
The Government shall evaluate responsive Offerors who submit complete proposals.  A Technical Evaluation Panel (TEP) shall evaluate Offerors' Technical Proposals in accordance with the Technical Evaluation Factors.  The Government shall rank Offerors based on their technical evaluation and establish a competitive range consisting of the highest technically qualified Offerors as determined by the TEP.  The competitive range shall consist of at least three (3) Offerors. The Government shall then evaluate Offerors who fall within the competitive range based on Cost/Price as stated in this section. 
</p><p>
The Government shall perform a ""best value analysis"" and the selection for award shall be made to the Offeror within the competitive range whose proposal is determined to be the most advantageous to the Government.  All evaluation factors other than cost or price, when combined, are equally important as cost or price.  In any case, the Government reserves the right to make award(s) to that Offeror whose proposal provides the best overall value to the Government.
</p><p>
Offerors are advised that the award will be made to that Offeror whose proposal provides the combination of features that offers the best or greatest overall value to the Government. However, the Government will not make an award at a significantly higher overall cost to the Government to achieve only slightly superior performance.  The overall cost to the Government may become the ultimate factor for award of a contract as proposals become more equal based on other factors.</p>",,Advanced,Selection Criteria,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
167,Factor 1: Technical Evaluation Criteria,<p>This section provides information on the Governmental process to evaluate the Offerors' technical proposals.</p>,"<p>The Government shall evaluate the Offerors' Technical Proposals based on the Technical Evaluation Factors.  The Technical Evaluation Factors below are listed in the relative order of importance. 
</p><p>
Note: The distinction between corporate experience and past performance is that corporate experience pertains to the types of work and volume of work completed by Offerors that are comparable to the types of work covered by this requirement, in terms of size, scope, and complexity.  Past performance pertains to both the relevance of recent efforts and how well an Offeror has performed on the contracts.
</p>",,Advanced,Selection Criteria,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
168,Factor 1: Technical Evaluation Criteria - Subfactor 1   Annual Energy Production,<p>This section mentions that the Offeror will be evaluated on the minimum guaranteed energy production stated in Section L.</p>,<p>Each Offeror will be evaluated on their proposed guaranteed minimum annual kWh (AC) as reported in Attachment __.</p>,,Advanced,Selection Criteria,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
169,Factor 1: Technical Evaluation Criteria - Subfactor 2   Schematic-level drawing(s) and other information for the proposed arrays,<p>This section states that the Offerors will be evaluated on their responsiveness to the scope of work in the RFP.</p>,"<p>Each Offeror will be evaluated based on their responsiveness to the Scope of Work. The Offeror shall include the bid response items requested in Section L. The narrative, drawings, and cut sheets shall be clear, concise, thorough, and realistic.  Sufficient detail shall be provided to allow for an effective evaluation and for substantiating the validity of stated claims. The Government is interested in strong plans that demonstrate compatibility with existing site electrical distribution systems. Government cybersecurity requirements are stringent, and plans must reflect a level of competency and realism to manage these requirements in order to successfully connect to meters, data acquisition systems, and control equipment. </p>",,Advanced,Selection Criteria,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
170,Factor 1: Technical Evaluation Criteria - Subfactor 3   Initial interconnection plan,<p>This section states that the Offerors will be evaluated based on their responsiveness to the interconnection requirements and their subsequent interconnection plans.</p>,"<p>Each Offeror will be evaluated based on responsiveness to the items requested in Section L. The interconnection Plan, including the system impact study approach, shall be insightful,  sufficient in detail, and realistic. The Plan shall reflect the state statute and state Public Service Commission regulations and rules that govern interconnection processes and interconnection agreements. The Plan shall be insightful and realistic in consideration of the age and condition of the site's electrical distribution system.  </p>",,Advanced,Selection Criteria,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
171,Factor 1: Technical Evaluation Criteria - Subfactor 4   Implementation plan,<p>This section states that the Offerors will be evaluated based on their Implementation Plans and competency to complete the project.</p>,"<p>Each Offeror's Implementation Plan and schedule must demonstrate competency in implementing solar arrays of equal or larger size and complexity.  The Offeror shall demonstrate that they have the ability to manage technical, logistic, and scheduling challenges involved in implementing a distributed generation project of similar size and technical scope. The Plan shall demonstrate the Offeror's ability to meet requirements associated with the ITC levels (%) assumed for the offer. The Offeror's O&M Plan and emergency shutdown procedures will be evaluated for thoroughness and realism.</p>

<p>Each Offeror proposal will be evaluated on the degree to which award of a contract would present a risk of degradation of the quality and reliability of the current electric service. The Performance Risk will be assessed as a cumulative result of the risk presented in the following two areas:</p>

<ul><li>Service Interruption/Contingency Plan
</li><li>Force Majeure Plan</li></ul>

<p>Each Offeror will be evaluated on the qualifications and experience of personnel considered integral to performance (prime and subcontractor) to assure project success, and the suitability of the contingency plan provided to ensure performance in the absence of primary personnel.  Proposals that fail to submit complete and required information may be rated lower.</p>",,Advanced,Selection Criteria,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
172,Factor 2: Corporate Experience,<p>This section states how the Offerors will be evaluated based on their corporate experience.</p>,"<p>An Offeror who demonstrates experience designing, financing (including beneficial use of renewable energy credits/rebates/incentives/tax credits), constructing, owning, operating, and maintaining a renewable system similar in scope, size, type, and complexity to project(s) identified in the RFP may receive a higher rating for this factor. Failure to provide all information requested in Section L may result in a lower rating for this factor. Offerors who submit project(s) outside the previous five (5)-year period may be rated lower. The experience of a subcontractor or joint venture partners will not be considered.
</p>",,Advanced,Selection Criteria,All,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,All
