Project_Title,Awardees,CID,SUBPROGRAM,SUBPROGRAM_NODE,Award_Type,FOA_NAME,FOA_Acronym,Status,Award_Start_Date,Total_Government_Share,City,State,Zip_Code,Node,Latitude,Longitude,Principal_Investigator,Project_Description
Support of International Photovoltaic Module Quality Assurance Task Force,National Renewable Energy Laboratory,Lab30308,Photovoltaics,node/790881,Lab Award,SunShot National Laboratory Multiyear Partnership,PV SuNLaMP,Active,2015,"$10,055,000 ",Golden,CO,80401,node/1509311,39.715877,-105.231183,Ingrid Repins,"This project supports the Photovoltaic Module Quality Assurance Task Force to develop the international test standards necessary to validate the quality of photovoltaic modules and determine service lifetimes. The project will improve the quality of modules, implement a conformity assessment system for photovoltaic power plants to meet the requirements of international standards, and develop and implement a rating system to ensure durable design of modules."
System Advisor Model,National Renewable Energy Laboratory,Lab30360,Systems Integration,node/791071,Lab Award,SunShot National Laboratory Multiyear Partnership,Systems Integration SuNLaMP,Active,2015,"$2,232,001 ",Golden,CO,80401,node/1646191,39.755543,-105.2211,Janine Freeman,"This project focuses on the System Advisor Model, a performance and finance model designed to facilitate decision making for people involved in the renewable energy industry. It makes performance predictions and cost of energy estimates for grid-connected power projects based on installation, operating costs, and system design parameters that users enter into the tool. This project will improve and maintain many features of the tool that has been instrumental in advancing the solar industry. Basic maintenance for the PVWatts calculator tool will also be completed."
System Advisor Model Enhancements for CSP,National Renewable Energy Laboratory,Lab25831,Concentrating Solar Power,node/790241,Lab Award,CSP National Laboratory R&D,CSP 2012 Lab Call,Inactive,2012,"$646,075 ",Golden,CO,80401,node/790771,39.755543,-105.2211,Ty Neises,"The National Renewable Energy Laboratory (NREL), with support from the University of Wisconsin and Sandia National Laboratories, under the National Laboratory R&D competitive funding opportunity, is investigating the effects of high-temperature salt and supercritical carbon dioxide (s-CO<sub>2</sub>) on various alloys and developing protective methods and coatings for thermal energy storage (TES) and heat transfer fluid (HTF) containment materials. By reducing both the cost of materials used in concentrating solar power (CSP) systems and the risk of using the materials under investigation in CSP plants, this research will significantly reduce the cost and the investment risk of CSP plants."
Technologically Relevant Nanomaterials for Thermal Energy Storage in Concentrating Solar Power Plants,National Renewable Energy Laboratory,Lab20642,Concentrating Solar Power,node/790241,Lab Award,American Recovery and Reinvestment Act of 2009 CSP Awards,CSP ARRA,Inactive,2009,"$1,000,000 ",Golden,CO,80401,node/790501,39.755543,-105.2211,Calvin Curtis,"The National Renewable Energy Laboratory (NREL), under an ARRA CSP Award, is extending previous work on nanoscale phase change materials to develop materials with technologically relevant temperature ranges and encapsulation structures."
Ternary Copper Nitride Absorbers,National Renewable Energy Laboratory,Lab24607,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,2011,"$750,000 ",Golden,CO,80401,node/790976,39.755543,-105.2211,David Ginley,"The research team for this project, which includes partners from Colorado School of Mines and Cornell University, is working to establish a new solar cell paradigm of ternary copper nitride absorbers (Cu-M-N). These absorbers are expected to have favorable properties because of the large valence-band dispersion that results from a nearly perfect energy match of Cu and N energy levels. This match may lead to a defect immunity similar to that exhibited by copper indium gallium diselenide (CIGS) devices. The primary objectives of this project are to identify earth-abundant, thermodynamically stable, and nonreactive Cu-M-N materials, determine their exact chemical stoichiometry and crystallographic structure, and study their physical properties related to photovoltaic applications."
"Towards a Low Cost Solar Future: Baselines, Trajectories, and Impacts",National Renewable Energy Laboratory,Lab30379/32314,Soft Costs,node/791371,Lab Award,SunShot National Laboratory Multiyear Partnership,Soft Costs SuNLaMP,Active,2015,"$2,700,000 ",Golden,CO,80401,node/1969636,39.755543,-105.2211,Robert Margolis,"This project accurately quantifies the soft and hard costs of solar in order to target research and development activities that increase market transparency, disseminate research that guides accelerated solar deployment strategies, and identify opportunities to facilitate solar cost reductions. This foundational analysis will help address the remaining non-hardware cost and deployment barriers to achieving ubiquitous solar."
Ultra High-Efficiency and Low-Cost Polycrystalline Halide Perovskite Thin-Film Solar Cells,National Renewable Energy Laboratory,Lab28396,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 3,NextGen 3,Active,2014,"$1,360,000 ",Golden,CO,80401,node/973816,39.755543,-105.2211,Kai Zhu,"This project is developing high-efficiency single-junction perovskite solar cells, helping to gain an understanding of basic material and device properties related to halide perovskites, which will lead to the demonstration of ultra-high efficiency tandem thin-film devices. Researchers are using two complementary methods: solution processing and co-evaporation deposition. Theoretical modeling is being conducted to understand doping/defect physics for perovskites, while information learned on doping physics, defect chemistry, and device modeling will be made available to the photovoltaic community and will support solar manufacturers and start-ups looking for their next-generation photovoltaic products."
"Unlocking Widespread Solar Adoption: Understanding Preferences of Low- to Moderate-Income Households to Create Scalable, Sustainable Models",National Renewable Energy Laboratory,Lab32307,Soft Costs,node/790881,Funding Opportunity,Solar Energy Evolution and Diffusion Studies 2 - State Energy Strategies ,SEEDS2-SES,Active,2016,"$1,350,000 ",Golden,CO,80401-3111,node/2092303,39.715877,-105.231183,Benjamin Sigrin,"This project focuses on identifying novel, data-driven, and evidence-based strategies that could dramatically scale up solar adoption rates in low- and moderate-income communities. The goal is to develop pathways for reaching parity in solar penetration rates across socioeconomic groups. This project serves a core need for developing objective tools and datasets for policymakers and identifying the barriers that have previously limited deployment. The primary focus of this project is to rate the technical solar potential of buildings in low- and moderate-income communities across the country, develop predictive models to understand previous deployment, and then work with a national nonprofit solar installation group to determine how communication about solar energy usage occurs within these communities."
Untapped Markets: Catalyzing Mid-Scale Solar Deployment through Deep-Dive Analysis and Decision Support,National Renewable Energy Laboratory,Lab32317,Soft Costs,node/791371,Lab Award,SunShot National Laboratory Multiyear Partnership,Soft Costs SuNLaMP,Active,2015,"$1,458,635 ",Golden,CO,80401,node/1969951,39.755543,-105.2211,Jenny Heeter,"In collaboration with the Environmental Protection Agency's Green Power Partnership, this project aims to increase the deployment of mid-scale photovoltaic systems by identifying important untapped market segments, then engaging relevant stakeholder groups to identify and solve key market barriers, while providing technical tools and expertise to empower decision makers. This project will also help solar developer and installer communities by providing analyses that quantify the size and suitability of potential markets, while defining barriers and opportunities for mid-scale solar energy systems."
Utility Technical Assistance and DGIC,National Renewable Energy Laboratory,Lab30346/Lab32316,Soft Costs,node/791371,Lab Award,SunShot National Laboratory Multiyear Partnership,Soft Costs SuNLaMP,Active,2015,"$1,131,704 ",Golden,CO,80401,node/1969956,39.755543,-105.2211,Elizabeth Doris,"This project focuses on problems utilities are solving related to integrating photovoltaics (PV) onto distribution grids. The team provides one-on-one technical assistance to utilities to help address particular areas of concern. In addition, the project team convenes quarterly webinars to discuss important topics of interest to utility stakeholders, and to disseminate information including lessons learned."
Utilizing Emergent Material Properties and Novel Device Architectures for Advancing Organic Photovoltaics,National Renewable Energy Laboratory,Lab30303,Photovoltaics,node/790881,Lab Award,SunShot National Laboratory Multiyear Partnership,PV SuNLaMP,Active,2015,"$2,000,000 ",Golden,CO,80401,node/1508991,39.715877,-105.231183,Ross Larsen ,"This project is designing and developing efficient, stable, and inexpensive organic photovoltaics. It will also make the lab's organic photovoltaic database available to the public online at organicelectronics.nrel.gov."
Solar Utility Network Deployment Acceleration (SUNDA),National Rural Electric Cooperative Association,EE0006333,Systems Integration,node/79107,Funding Opportunity,Solar Utility Networks: Replicable Innovations in Solar Energy,SUNRISE,Inactive,2013,"$3,645,657 ",Arlington,VA,22201-1000,"node/791146; node/1074231",38.884513,-77.093858,Craig Miller,"The goal of this project is to work closely with a cohort of 15 rural electric cooperatives in 17 states to integrate more than 23 MW solar assets rapidly and cost-effectively. National Rural Electric Cooperative Association (NRECA) with its partners, the National Rural Utilities Cooperative Finance Corporation, the Federated Rural Electric Insurance Exchange, and Power Secure will make up the team that helps accelerate solar adoption at electric co-ops through standardized designs, streamlined financing, packaged insurance, group equipment purchasing, and extensive training and outreach. The number and diversity of cooperatives that are participating in this program is impressive. Not only are the co-ops geographically diverse, but they also differ in the number of customers they service, workforce and solar expertise. The team has an aggressive target of getting to a solar installed cost of $1.6/W without subsidies by 2017. The project is designed to help lower the cost of solar deployment across rural America. The impact of NRECA's work will be felt beyond the over 900 cooperatives serving our rural communities in bringing de facto standards for integrating solar assets in rural communities."
Installation and Soft Cost Reduction for Horizontal Single Axis Trackers,Nevados Engineering,EE0007188,Technology to Market,node/928446,Funding Opportunity,"SunShot Technology to Market: Incubator 10, SolarMat 3, SunPath 2",Incubator 10,Inactive,2015,"$773,124 ",San Francisco,CA,94102-5060,node/1382226,37.778687,-122.421242,Yezin Taha,This project is working to optimize Nevados' horizontal single-axis tracker design for potential manufacturing. The technology helps solar developers build commercial solar projects on lands that are raised and uneven and would typically not be considered for solar development. This creates more site options and eliminates major construction costs. This project will update the product design in an effort to find cost-cutting opportunities and further testing will be conducted to demonstrate the reliability and robustness of the single axis tracker design.
Building Windows with Transparent Photovoltaics to Lower Costs,Next Energy Technologies,EE0008133,Technology to Market,node/928446,Funding Opportunity,Technology to Market Technology to Market 3,T2M3,Active,2017,"$2,500,000 ",Santa Barbara,CA,93111-2389,node/302907,34.463083,-119.806291,Corey Hoven,"Next Energy Technologies Inc. (NEXT), has developed transparent photovoltaic coatings for integration into commercial windows. NEXT's low-cost, wet-coated materials selectively absorb and convert light in the infrared and UV spectrum while allowing significant visible light transmission with colors that are desirable to the window market. The approach uniquely allows the photovoltaic windows to look like conventional windows, but also allows for reduced module and balance of system costs by leveraging existing window costs. This project will enable NEXT to transition from small-scale 3.5"" units produced using laboratory processes to larger format devices utilizing manufacturing-relevant processes."
Florida Alliance for Accelerating Solar and Storage Technology Readiness,Nhu Energy,EE0007668,Soft Costs,node/791371,Funding Opportunity,Solar Energy Evolution and Diffusion Studies 2 - State Energy Strategies ,SEEDS2-SES,Active,2016,"$1,750,000 ",Tallahassee,FL,32317-2155,node/2092351,30.475831,-84.111846,Rick Meeker,"This project conducts analysis and planning activities in Florida to increase solar deployment and maximize the benefits of solar, including combining solar with other distributed energy resources like energy storage and demand response. This project will lay the foundation to enable Florida municipal and cooperative utilities to reach 10% of solar in their electricity capacity in less than 10 years."
Low-Cost Nanostructured Substrates for Efficient Epitaxial Lift-Off of III-V Solar Cells,nLiten Energy,EE0007369,Photovoltaics,node/790890,Funding Opportunity,Photovoltaic Research and Development: Small Innovative Projects in Solar,PVRD SIPS,Inactive,2016,"$159,939 ",Mountain View,CA,94041-2055,node/1876006,37.386812,-122.075155,Alan Chin,"This project aims to significantly decrease the cost of epitaxially grown III-V solar cells through the use of low-cost, nano-structured substrates for efficient epitaxial lift-off of III-V thin films. The nano-structured array will serve as the sacrificial layer to enable the low-cost growth of thin film III-V solar cells."
"Personnel Certifications for the Design, Installation, and Maintenance of Photovoltaic Systems",North American Board of Certified Energy Practitioners,EE0007318,Soft Costs,node/791371,Funding Opportunity,Solar Training and Education for Professionals,STEP,Active,2016,"$1,119,195 ",Clifton Park,NY,12065-3995,node/1712876,42.844668,-73.81838,Shawn O'Brien,"This project is developing three new industry-validated personnel certifications for individuals working in photovoltaic operations and maintenance and in mid-scale system design and installation. These new certifications fill the need for third-party validation of the skills and competence required for the solar labor force, as represented in professional credentials in these sectors. North American Board of Certified Energy Practitioners (NABCEP) is also improving and updating its current Photovoltaic Installation Professional Certification program and examination. In addition, NABCEP aims to have certified at least 100 new solar professionals in these programs by completion of the award."
Community Solar for the Southeast,North Carolina Clean Energy Technology Center,EE0007670,Soft Costs,node/791371,Funding Opportunity,Solar Energy Evolution and Diffusion Studies 2 - State Energy Strategies ,SEEDS2-SES,Active,2016,"$1,000,000 ",Raleigh,NC,27695-7514,node/2092359,35.785055,-78.681945,Thomas Cleveland,"This project makes solar more affordable and accessible through shared solar projects developed by cooperative and municipal utilities across the Southeast. The North Carolina Clean Energy Technology Center leads a stakeholder process with rural cooperative and municipal electric utilities, which can influence many states within the Southeast region. The project is expected to result in a dramatic increase of shared and community solar projects in the region."
"Development of a Low Cost, Residential Plug and Play PV System",North Carolina State University,EE0006036,Systems Integration,node/791071,Funding Opportunity,Plug-and-Play Photovoltaics,Plug and Play,Inactive,2013,"$2,954,940 ",Raleigh,NC,27695-7214,node/1068996,35.785055,-78.681945,Alex Huang,"North Carolina State University FREEDM Systems Engineering Center and its partners, under the Plug-and-Play Photovoltaics FOA, are performing analysis, design, and innovation to address each stage in the value chain of grid-interactive residential photovoltaic (PV) systems, while taking a broader systems perspective encompassing the PV supply chain, codes and standards, regulations, inspection, and marketability."
Technology Enabling Ultra High Concentration Multi-Junction Cells,North Carolina State University,EE0005403,Photovoltaics,node/790881,Funding Opportunity,Foundational Program to Advance Cell Efficiency,F-PACE,Inactive,2011,"$1,000,000 ",Raleigh,NC,27601-0400,node/790971,35.77443,-78.631362,Salah Bedair,"The goal of this project is to develop a new plug-and-play PV technology to improve all aspects of residential solar PV systems through major innovation, refinement, and standardization. The key efforts are: 1) reducing the costs of the structural elements, installation, and mounting components, 2) reducing the cost and improving the performance and reliability of the electrical components, 3) simplifying the integration of the panels into the electrical grid, including communications, control, and safety considerations, and 4) designing for the market."
Robust Distributed State Estimator for Interconnected Transmission and Distribution Networks,Northeastern University,EE0008005,Systems Integration,node/791071,Funding Opportunity,Enabling Extreme Real-Time Grid Integration of Solar Energy,ENERGISE,Active,2017,"$633,792 ",Boston,MA,02115-5005,node/2917002,42.339904,-71.089889,Ali Abur,"This project develops, implements, tests, and validates a comprehensive state estimation algorithm for combined monitoring of transmission and distribution systems. This approach allows the computational complexity and solution time to be bounded regardless of the system size and number of measurements. The approach utilizes a mixed set of measurements under different network configurations and is able to handle any number of available solar photovoltaic units connected to the distribution system."
Advanced Low-Cost Receivers for Parabolic Troughs,Norwich Technologies,EE0005803,Concentrating Solar Power,node/791101,Funding Opportunity,SunShot Concentrating Solar Power R&D,CSP SunShot R&D,Inactive,2012,"$252,120 ",White River Junction,VT,05001-7040,node/790651,43.64896,-72.319258,Joel Stettenheim,"Norwich Technologies, under the 2012 SunShot Concentrating Solar Power (CSP) R&D FOA, is developing a novel receiver for parabolic trough CSP systems that will dramatically improve performance while substantially reducing acquisition and operation and maintenance (O&M) costs."
Design and Field Testing of Manufacturable Advanced Low-Cost Receiver for Parabolic Trough Solar Power,Norwich Technologies,EE0006813,Technology to Market,node/928446,Funding Opportunity,Solar Manufacturing Technology 2,SolarMat 2,Active,2015,"$1,390,691 ",White River Junction,VT,05001-7040,node/973806,43.67828,-72.369847,Joel Stettenheim,"Norwich Technologies is taking its novel receiver for trough-based CSP, the SunTrapTM, from proven laboratory prototype to fully manufacturable system integrated with the solar field. The analysis, design, and testing will address 30-yr service life, low cost manufacturability, and low operations and maintenance."
Second Generation Novel High Temperature Commercial Receiver & Low Cost High Performance Mirror Collector for Parabolic Solar Trough,Norwich Technologies,EE0006687,Technology to Market,node/928446,Funding Opportunity,Incubator 9,Incubator 9,Inactive,2014,"$677,504 ",White River Junction,VT,05001-7040,node/791016,43.67828,-72.369847,Troy McBride,"Norwich Technologies is working to commercialize its highly-efficient receiver design that enables the concentrating solar power (CSP) industry to realize higher outputs from parabolic trough plants, especially as the industry adopts higher temperature (higher-T) solar fields. Combined with a low-cost, high-accuracy collector, this solar field design will offer an unprecedented combination of high output and low price for trough CSP. In addition to working on the receiver, Norwich is working with project partners to build a collector (trough mirror) that will use a suspension structure instead of the traditional truss structure&mdash;dramatically reducing the amount of steel used in a CSP system which is a primary cost driver."
Advanced Anti-Soiling Coatings for CSP Collector Mirrors and Heliostats,Oak Ridge National Laboratory,Lab30340,Concentrating Solar Power,node/790241,Lab Award,SunShot National Laboratory Multiyear Partnership,CSP SuNLaMP,Active,2015,"$2,800,000 ",Oak Ridge,TN,37831,node/1823696,36.01,-84.27,Panos Datskos,"This project addresses the need to further develop self-cleaning reflector coatings for solar collectors. When solar collectors get dirty, their ability to collect sunlight is diminished. Through field demonstrations at CSP test sites, researchers are investigating the efficacy and durability of superhydrophobic coatings that can provide anti-soiling capabilities for trough and heliostat mirrors. In order for the coating to be cost effective, the team is developing a low-cost, industry-standard spray coat technique to apply the anti-soiling coating."
Dynamic Building Load Control to Facilitate High Penetration of Solar Photovoltaic Generation,Oak Ridge National Laboratory,Lab31081,Systems Integration,node/791071,Lab Award,SunShot National Laboratory Multiyear Partnership,Systems Integration SuNLaMP,Active,2015,"$3,000,000 ",Oak Ridge,TN,37831,node/1646196,36.01,-84.27,Teja Kuruganti,"This project aims to develop, demonstrate, and validate a sensing and control mechanism for using power loads to address variable photovoltaic generation, which will reduce two-way power flow and mitigate voltage instability on distribution level circuits. The availability of this technology will enable increased penetration of renewables while weakening the challenges that arise due to their intermittency in generation by using flexibility on load side."
Frequency Response Assessment and Improvement of Three Major North American Interconnections due to High Penetrations of Photovoltaic Generation,Oak Ridge National Laboratory,Lab30844,Systems Integration,node/791071,Lab Award,SunShot National Laboratory Multiyear Partnership,Systems Integration SuNLaMP,Active,2015,"$2,200,000 ",Oak Ridge,TN,37831,node/1646221,36.01,-84.27,Yilu Liu,"As the number of solar photovoltaic installations continues to grow exponentially, one of the major challenges to grid stability will be mitigating decreasing system inertia and deteriorating frequency response. Preliminary independent studies on two North American interconnections have already demonstrated that the overall frequency response will deteriorate significantly with increasing renewable generation. This project will investigate the frequency response and system inertia impacts with high solar penetration levels for all three major interconnections: the Eastern Interconnection, Western Interconnection, and the Electric Reliability Council of Texas."
Lifetime Model Development for Supercritical CO<sub>2</sub> CSP Systems,Oak Ridge National Laboratory,Lab30284,Concentrating Solar Power,node/790241,Lab Award,SunShot National Laboratory Multiyear Partnership,CSP SuNLaMP,Active,2015,"$2,175,000 ",Oak Ridge,TN,37831,node/1823706,36.01,-84.27,Bruce Pint,"This project seeks to develop a predictive lifetime model for materials in supercritical carbon dioxide (sCO<sub>2</sub>) conditions similar to concentrated solar power (CSP) applications. Experimental work will generate relevant corrosion, creep, and fatigue data to populate the model and then verify model predictions. The test campaign will mirror the thermal cycling expected in CSP applications. The combination of experiments aims to remove the many unknowns of how sCO<sub>2</sub> and its containment material will function over the expected lifetime of a power plant."
Low-Cost Self-Cleaning Reflector Coatings for CSP Collectors,Oak Ridge National Laboratory,Lab25745,Concentrating Solar Power,node/790241,Lab Award,CSP National Laboratory R&D,CSP 2012 Lab Call,Inactive,2012,"$2,203,214 ",Oak Ridge,TN,37831,node/790776,36.01,-84.27,Scott Hunter,"The Oak Ridge National Laboratory (ORNL), under the National Laboratory R&D competitive funding opportunity, is developing self-cleaning, optically transparent coatings that can be applied to the surfaces of heliostats and collector mirrors in concentrating solar power (CSP) systems. The coatings can help to achieve the SunShot Initiative cost goals by reducing the time and costs associated with cleaning collector and heliostat mirror surfaces and increasing the reliability and efficiency of CSP systems."
Polyaromatic Naphthalene Derivatives,Oak Ridge National Laboratory,Lab20637,Concentrating Solar Power,node/790241,Lab Award,American Recovery and Reinvestment Act of 2009 CSP Awards,CSP ARRA,Inactive,2009,"$900,000 ",Oak Ridge,TN,37831,node/790506,36.01,-84.27,Joanna McFarlane,"Oak Ridge National Laboratory, under an ARRA CSP Award, is addressing the need for heat transfer fluids (HTFs) for solar power generation that are stable to temperatures approaching 600&deg;C, have good thermal characteristics, and do not react with the vessels in which they are contained."
Understanding the Grain Boundaries,Oak Ridge National Laboratory,Lab24616,Photovoltaics,node/790881,Funding Opportunity,Foundational Program to Advance Cell Efficiency,F-PACE,Inactive,2011,"$1,500,000 ",Oak Ridge,TN,37831,node/790971,36.01,-84.27,Matt Chisholm,"This effort aims to develop technologies that can overcome the open circuit voltage (Voc) limitations in cadmium telluride (CdTe) solar cells by understanding and controlling the grain boundaries (i.e., the bounding surface between crystals). The research team is working to improve minority carrier lifetimes from less than a few nanoseconds (ns) to more than 10 ns, which will lead the enhancement of Voc from 840 mV to more than 1 V."
Solar Forecast Improvement Project,Office of Oceanic and Atmospheric Research,EE0006458,Systems Integration,node/791071,Funding Opportunity,Improving the Accuracy of Solar Forecasting,Solar Forecasting,Inactive,2014,"$1,000,000 ",Silver Spring,MD,20910,node/1068991,39.00415,-77.039175,Melinda Marquis,"For the Solar Forecast Improvement Project, the Earth System Research Laboratory is partnering with the National Center for Atmospheric Research and IBM to develop more accurate methods for solar forecasts using their state-of-the-art weather models."
III-V/Active-Silicon Integration for Low-Cost High Performance Concentrator Photovoltaics,Ohio State University,EE0005398,Photovoltaics,node/790881,Funding Opportunity,Foundational Program to Advance Cell Efficiency,F-PACE,Inactive,2011,"$1,275,000 ",Columbus,OH,43210-1016,node/790971,39.961176,-82.998794,Steven Ringel,"This project explores and advances the use of a GaAsP metamophic graded buffer as a pathway to integrate low defect density GaAsP and Ga-right GaInP based sub-cells with a Si substrate. The Si substrate can now be used as an active, high performance 1.1 eV subcell component due to the semi-transparency fo the GaAsP buffer with respect to Si. This creates a nearly ideal bandgap partitioning for a three bandgap multijunction design and enables a path for ideal four junction devices based on low cost Si substrate technology. Realistic modeling shows that concentrator cell efficiencies upwards of 50% or more are enabled. The coupling of this efficiency advantage and the ~ 100x reduction in substrate cost per area via substitution of low cost Si for high cost Ge, yieilds a path to achieve panels at $0.50/W, with futher cost reductions due to leveraging of the expansive and existing Si manufacturing industry."
"Tandem Solar Cells: Pathway to Low-Cost, High-Efficiency Photovoltaics",Ohio State University,EE0007539,Photovoltaics,node/790881,Funding Opportunity,Photovoltaics Research and Development,PVRD,Active,2016,"$1,124,999 ",Columbus,OH,43210-1124,node/2040174,39.961176,-82.998794, Tyler Grassman,"This project is developing a monolithic tandem solar cell with gallium arsenide phosphide on silicon wafer substrates aimed at an efficiency of at least 30 percent. The cell will be produced using scalable and manufacturable processes, which will be accomplished through optimization of the current prototype cell, including the demonstration of structures that are ideally suited for maximized silicon-based tandem manufacturing. A mature tandem cell could then be manufactured at scale via existing silicon and III-V tooling and infrastructure, greatly reducing capital expenditures and revitalizing existing manufacturing industries."
"High Throughput CIGS Solar Cell Fabrication Via Ultra-Thin Absorber Layer With Optical Confinement And (Cd, CBD)-Free Heterojunction Partner",Old Dominion University,EE0005400,Photovoltaics,node/790881,Funding Opportunity,Foundational Program to Advance Cell Efficiency,F-PACE,Inactive,2011,"$1,117,402 ",Norfolk,VA,23508-0369,node/790971,36.89084,-76.311623,Sylvain Marsillac,"We propose to develop a high throughput and high efficiency CIGS solar cell fabrication process via the use of an ultra-thin absorber layer (reducing the thickness by a factor of 10), optical confinement (via new AR Filter and back contact reflector), enhanced in-situ metrology (RTSE) and Cd-free/CBD-free wide band gap heterojunction partner. These new design and processes will address three main cost drivers, including: materials cost and availability, large scale uniformity, and throughput."
A Software Platform to Drive Disruptive Innovation in Solar Performance Assurance Through Software Automation,Omnidian,EE0008134,Technology to Market,node/928446,Funding Opportunity,Technology to Market Technology to Market 3,T2M3,Active,2017,"$796,810 ",Seattle,WA,98104-1005,node/3029089,47.601557,-122.332335,David Kenny,"Soft costs associated with solar installation continue to act as a prohibitive factor in the expansion of solar technology, at times comprising of up to 64 percent of the cost of a new solar system. Omnidian is creating an analytical, predictive performance model able to remotely and automatically diagnose performance issues in solar systems thereby driving down these soft costs across the solar industry. This project will result in a scalable asset management offering to the solar market, lowering the risk associated with solar investment, freeing up capital tied down in large-scale residential portfolios, and providing homeowners with continuous monitoring and a system performance guarantee."
New Communications Link to Reduce Residential Solar Costs,Operant Solar,EE0007592,Technology to Market,node/928446,Funding Opportunity,"Technology to Market 2: Incubator 11, SolarMat 4",Incubator 11,Inactive,2016,"$385,998 ",Santa Rosa,CA,95403-0109 ,node/2039930,38.440429,-122.714055,Randy King,"This project develops a new concept in photovoltaic system communications to help third party system operators better manage their active projects. This independently operating communications solution provides system operators with in-depth information on system performance and enables them to maintain active contact with residential end-user sites, helping to lower costs and ensure reliable access to system production data."
Reliable and Secure Bidirectional Communications Link for Distributed Energy Resources,Operant Solar Corporation,EE0008135,Technology to Market,node/928446,Funding Opportunity,Technology to Market Technology to Market 3,T2M3,Active,2017,"$480,000 ",Santa Rosa,CA,95409-5371,node/3029097,38.466853,-122.593828,Randy King,"Operant Solar has developed a network gateway that reliably, securely, and inexpensively connects distributed energy resources such as residential solar sites to the internet. Currently, the industry relies on single path internet connections that are unreliable. Twenty percent of fleets have dropped offline, becoming invisible to their operators and creating significant operations and management issues for companies. Operant's innovative software protocol provides a wireless backup connection between sites. The protocol, developed by a consortium led by the University of California, Los Angeles, can securely parallel an extremely long-range wireless mesh protocol with standard internet connections, such as WiFi or cellular. The concept is similar to smart meter networks used by utilities, but for more widely dispersed applications, like solar systems."
American Solar Transformation initiative,Optony,EE0006308,Soft Costs,node/791371,Funding Opportunity,Rooftop Solar Challenge 2,Rooftop Solar Challenge 2,Inactive,2013,"$1,199,598 ",Santa Clara,CA,95050-2500,node/791651,37.353966,-121.952999,Ben Foster,"The goal of this project is to use an innovative online Solar Roadmap platform and hands-on engagement to assist over 400 jurisdictions where solar potential is abundant, but resources and information are scarce. The American Solar Transformation Initiative project will improve permitting processes, establish solar friendly planning and zoning guidelines, streamline the interconnection process, expand financing options, and ultimately develop strong solar markets across the country."
Southwest Solar Transformation Initiative,Optony,EE0005682,Soft Costs,node/791371,Funding Opportunity,Rooftop Solar Challenge,Rooftop Solar Challenge,Inactive,2012,"$829,305 ",Santa Clara,CA,95051-1601,node/791726,37.359828,-121.981435,Benjamin Foster,"This regional team will drive market maturity across the Southwest where solar potential is abundant, but municipal resources and industry information are scarce. Efforts will include the development of a centralized online technical resource center and solar project support hotline."
High Flux Microchannel Receiver Development,Oregon State University,EE0007108,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power: Advanced Projects Offering Low LCOE Opportunities,CSP APOLLO,Active,2015,"$2,000,000 ",Corvallis,OR,97331-2140,node/1332646,44.564272,-123.278594,Kevin Drost,"Oregon State University is developing a microchannel solar receiver using supercritical carbon dioxide as the heat transfer fluid. The research will resolve key issues associated with the commercial viability of the technology, which allows for a radical reduction in the size of a central receiver. The project will culminate in an on-sun test of a commercial scale receiver module with a surface area of approximately one square meter."
High Flux Microchannel Receiver Development with Adaptive Flow Control,Oregon State University,EE0005801,Concentrating Solar Power,node/791102,Funding Opportunity,SunShot Concentrating Solar Power R&D,CSP SunShot R&D,Inactive,2012,"$647,649 ",Corvallis,OR,97339-1086,node/790656,44.564566,-123.262043,Kevin Drost,"Oregon State University and its partners, under the 2012 SunShot Concentrating Solar Power (CSP) R&D funding opportunity announcement (FOA), are working to develop an advanced heat exchanger for use in CSP receivers. The heat exchanger has the potential to significantly increase heat transfer and reduce the size of the receiver."
Highly Efficient Steel Cable Solar Photovoltaic Mounting System,P4P Energy,EE0008136,Technology to Market,node/928446,Funding Opportunity,Technology to Market Technology to Market 3,T2M3,Active,2017,"$1,000,000 ",Carbondale,CO,81623-2189,node/3029105,39.216565,-107.242998,Michael Fuller,"P4P has developed a unique photovoltaic panel suspension system utilizing tensioned cable design to reduce cost of solar parking structures. P4P's strategy is to minimize weight and materials cost, while increasing assembly and construction efficiency to produce a markedly less expensive solar canopy that produces valuable shade as well as electric power. P4P is researching a high volume, high efficiency product that will be both aggressively competitive and aesthetically pleasing."
Finding Pennsylvania's Solar Future,PA Department of Environmental Protection,EE0007666,Soft Costs,node/791371,Funding Opportunity,Solar Energy Evolution and Diffusion Studies 2 - State Energy Strategies ,SEEDS2-SES,Active,2016,"$550,000 ",Harrisburg,PA,17101-2301,node/2092343,40.258452,-76.886508,Hayley Book,"This project uses detailed scenario modeling to analyze current solar development and legislation and determine how they will be applied in 2030 under a scenario where up to 10 percent of electricity sales are from solar generation. The project will inform strategies that help meet state energy goals, develop environmental compliance plans, contribute to Pennsylvania's compliance of the Clean Power Plan, and increase grid resiliency. This work will result in a well-informed solar deployment plan that will be available to policymakers, regulators, industry, investors, and consumers. This project is expected to help lower the costs, increase the speed, and lower the barriers to solar market expansion in Pennsylvania."
